Week,Date,Manhattan,Brooklyn,Orange,Average
31,7/27/2017 - 8/2/2017,42.57142857,31.33333333,24.71428571,32.87301587
32,8/3/2017 - 8/9/2017,32,23.5,16.71428571,24.07142857
33,8/10/2017 - 8/16/2017,40.28571429,31,29,33.42857143
34,8/17/2017 - 8/23/2017,44.14285714,31.33333333,27.5,34.32539683
35,8/24/2017 - 8/30/2017,28.28571429,23.5,30.66666667,27.48412698
36,8/31/2017 - 9/6/2017,38.85714286,31,19.66666667,29.84126984
37,9/7/2017 - 9/13/2017,30.57142857,24.42857143,23.66666667,26.22222222
38,9/14/2017 - 9/20/2017,44,33.85714286,29.71428571,35.85714286
39,9/21/2017 - 9/27/2017,38.71428571,30.42857143,36.57142857,35.23809524
40,9/28/2017 - 10/4/2017,26.85714286,21.14285714,18.42857143,22.14285714
41,10/5/2017 - 10/11/2017,37.85714286,29,21.85714286,29.57142857
42,10/12/2017 - 10/18/2017,28.57142857,19.71428571,18,22.0952381
43,10/19/2017 - 10/25/2017,38.85714286,31.14285714,26.28571429,32.0952381
44,10/26/2017 - 11/1/2017,31,21.42857143,21.28571429,24.57142857
45,11/2/2017 - 11/8/2017,32.42857143,22,22.4,25.60952381
46,11/9/2017 - 11/15/2017,43.14285714,29.28571429,29.85714286,34.0952381
47,11/16/2017 - 11/22/2017,34.42857143,24.42857143,25.85714286,28.23809524
48,11/23/2017 - 11/29/2017,41.14285714,30.85714286,29,33.66666667
49,11/30/2017 - 12/6/2017,62.85714286,34.57142857,36.28571429,44.57142857
50,12/7/2017 - 12/13/2017,44.85714286,32,30,35.61904762
51,12/14/2017 - 12/20/2017,55.71428571,44.85714286,35.71428571,45.42857143
52,12/21/2017 - 12/27/2017,44.28571429,32.28571429,31,35.85714286
1,12/28/2017 - 1/3/2018,51.85714286,40.14285714,39.28571429,43.76190476
2,1/4/2018 - 1/10/2018,53.85714286,45.28571429,45.57142857,48.23809524
3,1/11/2018 - 1/17/2018,55.57142857,41.14285714,41.71428571,46.14285714
4,1/18/2018 - 1/24/2018,56.71428571,48.28571429,48.14285714,51.04761905
5,1/25/2018 - 1/31/2018,44.42857143,31.14285714,35.71428571,37.0952381
6,2/1/2018 - 2/7/2018,50,38.71428571,36.28571429,41.66666667
7,2/8/2018 - 2/14/2018,54.57142857,39.57142857,41,45.04761905
8,2/15/2018 - 2/21/2018,49,39.28571429,37.28571429,41.85714286
9,2/22/2018 - 2/28/2018,38.28571429,23.85714286,21.14285714,27.76190476
10,3/1/2018 - 3/7/2018,44.14285714,20.57142857,12.83333333,25.84920635
11,3/8/2018 - 3/14/2018,39.85714286,20.42857143,15.71428571,25.33333333
12,3/15/2018 - 3/21/2018,41.42857143,23.14285714,20.71428571,28.42857143
13,3/22/2018 - 3/28/2018,36.57142857,24,22,27.52380952
14,3/29/2018 - 4/4/2018,39,28,20.42857143,29.14285714
15,4/5/2018 - 4/11/2018,31.28571429,24,20.28571429,25.19047619
16,4/12/2018 - 4/18/2018,43.28571429,31.71428571,25.57142857,33.52380952
17,4/19/2018 - 4/25/2018,29.85714286,20,18.28571429,22.71428571
18,4/26/2018 - 5/2/2018,39.42857143,25.14285714,20,28.19047619
19,5/3/2018 - 5/9/2018,49.71428571,31.42857143,30.85714286,37.33333333
20,5/10/2018 - 5/16/2018,34.14285714,20.14285714,17.83333333,24.03968254
21,5/17/2018 - 5/23/2018,35.57142857,23.71428571,18.33333333,25.87301587
22,5/24/2018 - 5/30/2018,39.42857143,28.71428571,34.57142857,34.23809524
23,5/31/2018 - 6/6/2018,29.85714286,21.42857143,20.28571429,23.85714286
24,6/7/2018 - 6/13/2018,31,22.57142857,23.14285714,25.57142857
25,6/14/2018 - 6/20/2018,37.57142857,24.42857143,25.16666667,29.05555556
26,6/21/2018 - 6/27/2018,27,19.14285714,14.5,20.21428571
27,6/28/2018 - 7/4/2018,63,49.57142857,47.85714286,53.47619048
28,7/5/2018 - 7/11/2018,32.85714286,22,23.33333333,26.06349206
29,7/12/2018 - 7/18/2018,45.85714286,32.71428571,31.57142857,36.71428571
30,7/19/2018 - 7/25/2018,29.85714286,19.85714286,9.142857143,19.61904762
31,7/26/2018 - 8/1/2018,36.71428571,26.28571429,22.16666667,28.38888889
32,8/2/2018 - 8/8/2018,48.57142857,36.14285714,37.57142857,40.76190476
33,8/9/2018 - 8/15/2018,44.42857143,33.57142857,27.85714286,35.28571429
34,8/16/2018 - 8/22/2018,42.57142857,34.85714286,31.57142857,36.33333333
35,8/23/2018 - 8/29/2018,55.28571429,47.57142857,50.85714286,51.23809524
36,8/30/2018 - 9/5/2018,37.57142857,29.57142857,24.28571429,30.47619048
37,9/6/2018 - 9/12/2018,39,24.28571429,11,24.76190476
38,9/13/2018 - 9/19/2018,28.42857143,20,15.57142857,21.33333333
39,9/20/2018 - 9/26/2018,21.57142857,16.28571429,11.71428571,16.52380952
40,9/27/2018 - 10/3/2018,29.57142857,21,14,21.52380952
41,10/4/2018 - 10/10/2018,36.85714286,25.57142857,17.85714286,26.76190476
42,10/11/2018 - 10/17/2018,24.85714286,16.71428571,15.71428571,19.0952381
43,10/18/2018 - 10/24/2018,23.57142857,18.14285714,13.85714286,18.52380952
44,10/25/2018 - 10/31/2018,25.28571429,19.71428571,13.28571429,19.42857143
45,11/1/2018 - 11/7/2018,35.42857143,22.57142857,17.71428571,25.23809524
46,11/8/2018 - 11/14/2018,32.57142857,22.85714286,23.71428571,26.38095238
47,11/15/2018 - 11/21/2018,40.14285714,29.28571429,22,30.47619048
48,11/22/2018 - 11/28/2018,31,19.71428571,20.42857143,23.71428571
49,11/29/2018 - 12/5/2018,40.14285714,27.14285714,23.14285714,30.14285714
50,12/6/2018 - 12/12/2018,45.57142857,36.42857143,37.14285714,39.71428571
51,12/13/2018 - 12/19/2018,48.42857143,32.71428571,34.71428571,38.61904762
52,12/20/2018 - 12/26/2018,42.71428571,33.85714286,34,36.85714286
1,12/27/2018 - 1/2/2019,47.42857143,35.71428571,33.71428571,38.95238095
2,1/3/2019 - 1/9/2019,49,39.28571429,37.57142857,41.95238095
3,1/10/2019 - 1/16/2019,45.85714286,38.71428571,37.85714286,40.80952381
4,1/17/2019 - 1/23/2019,49.57142857,33.14285714,33.85714286,38.85714286
5,1/24/2019 - 1/30/2019,45.71428571,34.42857143,36,38.71428571
