Week,Year,Date,Average of Essex Ozone AQI Value,Average of cluster 3 Ozone AQI Value
49,2016,12/2/2016 - 12/8/2016,30.43,30.43
50,2016,12/9/2016 - 12/15/2016,33.29,33.29
51,2016,12/16/2016 - 12/22/2016,34.29,34.29
52,2016,12/23/2016 - 12/29/2016,34.71,34.71
1,2017,12/30/2016 - 1/5/2017,34.71,34.71
2,2017,1/6/2017 - 1/12/2017,37.29,37.29
3,2017,1/13/2017 - 1/19/2017,41,41
4,2017,1/20/2017 - 1/26/2017,40.71,40.71
5,2017,1/27/2017 - 2/2/2017,36.57,36.57
6,2017,2/3/2017 - 2/9/2017,38.57,38.57
7,2017,2/10/2017 - 2/16/2017,36.71,36.71
8,2017,2/17/2017 - 2/23/2017,48.14,48.14
9,2017,2/24/2017 - 3/2/2017,41,41
10,2017,3/3/2017 - 3/9/2017,52.29,52.29
11,2017,3/10/2017 - 3/16/2017,45.43,45.43
12,2017,3/17/2017 - 3/23/2017,56.14,56.14
13,2017,3/24/2017 - 3/30/2017,49.29,49.29
14,2017,3/31/2017 - 4/6/2017,49.14,49.14
15,2017,4/7/2017 - 4/13/2017,52.86,52.86
16,2017,4/14/2017 - 4/20/2017,47.71,47.71
17,2017,4/21/2017 - 4/27/2017,44.43,44.43
18,2017,4/28/2017 - 5/4/2017,51.86,51.86
19,2017,5/5/2017 - 5/11/2017,36.71,36.71
20,2017,5/12/2017 - 5/18/2017,49.86,49.86
21,2017,5/19/2017 - 5/25/2017,50,50
22,2017,5/26/2017 - 6/1/2017,39,39
23,2017,6/2/2017 - 6/8/2017,39.71,39.71
24,2017,6/9/2017 - 6/15/2017,69.71,69.71
25,2017,6/16/2017 - 6/22/2017,50.71,50.71
26,2017,6/23/2017 - 6/29/2017,42.71,42.71
27,2017,6/30/2017 - 7/6/2017,46.43,46.43
28,2017,7/7/2017 - 7/13/2017,53.57,53.57
29,2017,7/14/2017 - 7/20/2017,47,47
30,2017,7/21/2017 - 7/27/2017,34.71,34.71
31,2017,7/28/2017 - 8/3/2017,46,46
32,2017,8/4/2017 - 8/10/2017,43.57,43.57
33,2017,8/11/2017 - 8/17/2017,43.14,43.14
34,2017,8/18/2017 - 8/24/2017,49,49
35,2017,8/25/2017 - 8/31/2017,33.57,33.57
36,2017,9/1/2017 - 9/7/2017,27.57,27.57
37,2017,9/8/2017 - 9/14/2017,31.14,31.14
38,2017,9/15/2017 - 9/21/2017,42.57,42.57
39,2017,9/22/2017 - 9/28/2017,50.57,50.57
40,2017,9/29/2017 - 10/5/2017,39.71,39.71
41,2017,10/6/2017 - 10/12/2017,37.86,37.86
42,2017,10/13/2017 - 10/19/2017,39,39
43,2017,10/20/2017 - 10/26/2017,44.29,44.29
44,2017,10/27/2017 - 11/2/2017,36.29,36.29
45,2017,11/3/2017 - 11/9/2017,29.71,29.71
46,2017,11/10/2017 - 11/16/2017,31.86,31.86
47,2017,11/17/2017 - 11/23/2017,33.29,33.29
48,2017,11/24/2017 - 11/30/2017,34,34
49,2017,12/1/2017 - 12/7/2017,34.57,34.57
50,2017,12/8/2017 - 12/14/2017,33.29,33.29
51,2017,12/15/2017 - 12/21/2017,38.43,38.43
52,2017,12/22/2017 - 12/28/2017,37,37
1,2018,12/29/2017 - 1/4/2018,35.43,35.43
2,2018,1/5/2018 - 1/11/2018,35.71,35.71
3,2018,1/12/2018 - 1/18/2018,34,34
4,2018,1/19/2018 - 1/25/2018,36.86,36.86
5,2018,1/26/2018 - 2/1/2018,34.29,34.29
6,2018,2/2/2018 - 2/8/2018,37.57,37.57
7,2018,2/9/2018 - 2/15/2018,39.14,39.14
8,2018,2/16/2018 - 2/22/2018,39.86,39.86
9,2018,2/23/2018 - 3/1/2018,43.86,43.86
10,2018,3/2/2018 - 3/8/2018,38.71,38.71
11,2018,3/9/2018 - 3/15/2018,40,40
12,2018,3/16/2018 - 3/22/2018,42.43,42.43
13,2018,3/23/2018 - 3/29/2018,42.14,42.14
14,2018,3/30/2018 - 4/5/2018,44.57,44.57
15,2018,4/6/2018 - 4/12/2018,46,46
16,2018,4/13/2018 - 4/19/2018,47.86,47.86
17,2018,4/20/2018 - 4/26/2018,55.43,55.43
18,2018,4/27/2018 - 5/3/2018,61.71,61.71
19,2018,5/4/2018 - 5/10/2018,66.43,66.43
20,2018,5/11/2018 - 5/17/2018,49.43,49.43
21,2018,5/18/2018 - 5/24/2018,53.71,53.71
22,2018,5/25/2018 - 5/31/2018,72.71,72.71
23,2018,6/1/2018 - 6/7/2018,41.71,41.71
24,2018,6/8/2018 - 6/14/2018,44.57,44.57
25,2018,6/15/2018 - 6/21/2018,46.14,46.14
26,2018,6/22/2018 - 6/28/2018,43.29,43.29
27,2018,6/29/2018 - 7/5/2018,54,54
28,2018,7/6/2018 - 7/12/2018,54.57,54.57
29,2018,7/13/2018 - 7/19/2018,42.57,42.57
30,2018,7/20/2018 - 7/26/2018,40.57,40.57
31,2018,7/27/2018 - 8/2/2018,42.57,42.57
32,2018,8/3/2018 - 8/9/2018,51.14,51.14
33,2018,8/10/2018 - 8/16/2018,43.71,43.71
34,2018,8/17/2018 - 8/23/2018,39.29,39.29
35,2018,8/24/2018 - 8/30/2018,45.71,45.71
36,2018,8/31/2018 - 9/6/2018,39.29,39.29
37,2018,9/7/2018 - 9/13/2018,32.86,32.86
38,2018,9/14/2018 - 9/20/2018,38.29,38.29
39,2018,9/21/2018 - 9/27/2018,37.71,37.71
40,2018,9/28/2018 - 10/4/2018,39,39
41,2018,10/5/2018 - 10/11/2018,36,36
42,2018,10/12/2018 - 10/18/2018,31.71,31.71
43,2018,10/19/2018 - 10/25/2018,31.57,31.57
44,2018,10/26/2018 - 11/1/2018,36.71,36.71
45,2018,11/2/2018 - 11/8/2018,25.29,25.29
46,2018,11/9/2018 - 11/15/2018,30.29,30.29
47,2018,11/16/2018 - 11/22/2018,31.71,31.71
48,2018,11/23/2018 - 11/29/2018,31.71,31.71
49,2018,11/30/2018 - 12/6/2018,36.29,36.29
50,2018,12/7/2018 - 12/13/2018,40.43,40.43
51,2018,12/14/2018 - 12/20/2018,42.86,42.86
52,2018,12/21/2018 - 12/27/2018,39.86,39.86
1,2019,12/28/2018 - 1/3/2019,37.43,37.43
2,2019,1/4/2019 - 1/10/2019,37.43,37.43
3,2019,1/11/2019 - 1/17/2019,40.86,40.86
4,2019,1/18/2019 - 1/24/2019,38.71,38.71
5,2019,1/25/2019 - 1/31/2019,37.57,37.57
6,2019,2/1/2019 - 2/7/2019,40.71,40.71
7,2019,2/8/2019 - 2/14/2019,42.57,42.57
8,2019,2/15/2019 - 2/21/2019,43.86,43.86
9,2019,2/22/2019 - 2/28/2019,42.71,42.71
10,2019,3/1/2019 - 3/7/2019,43.86,43.86
11,2019,3/8/2019 - 3/14/2019,50.14,50.14
12,2019,3/15/2019 - 3/21/2019,45.43,45.43
13,2019,3/22/2019 - 3/28/2019,49.14,49.14
14,2019,3/29/2019 - 4/4/2019,51,51
15,2019,4/5/2019 - 4/11/2019,47.43,47.43
16,2019,4/12/2019 - 4/18/2019,49.43,49.43
17,2019,4/19/2019 - 4/25/2019,45.43,45.43
18,2019,4/26/2019 - 5/2/2019,45,45
19,2019,5/3/2019 - 5/9/2019,49,49
20,2019,5/10/2019 - 5/16/2019,40.14,40.14
21,2019,5/17/2019 - 5/23/2019,44.57,44.57
22,2019,5/24/2019 - 5/30/2019,45.57,45.57
