Week,Year,Date,Average of Essex PM2.5 AQI Value,Average of cluster 3 PM2.5 AQI Value
3,2017,1/13/2017 - 1/19/2017,14.42857143,14.42857143
4,2017,1/20/2017 - 1/26/2017,9.142857143,9.142857143
5,2017,1/27/2017 - 2/2/2017,11,11
6,2017,2/3/2017 - 2/9/2017,12.14285714,12.14285714
7,2017,2/10/2017 - 2/16/2017,18.14285714,18.14285714
8,2017,2/17/2017 - 2/23/2017,22.14285714,22.14285714
9,2017,2/24/2017 - 3/2/2017,15.14285714,15.14285714
10,2017,3/3/2017 - 3/9/2017,12.42857143,12.42857143
11,2017,3/10/2017 - 3/16/2017,18.14285714,18.14285714
12,2017,3/17/2017 - 3/23/2017,17.14285714,17.14285714
13,2017,3/24/2017 - 3/30/2017,10.57142857,10.57142857
14,2017,3/31/2017 - 4/6/2017,5.285714286,5.285714286
15,2017,4/7/2017 - 4/13/2017,17,17
16,2017,4/14/2017 - 4/20/2017,15.71428571,15.71428571
17,2017,4/21/2017 - 4/27/2017,7.857142857,7.857142857
18,2017,4/28/2017 - 5/4/2017,10,10
19,2017,5/5/2017 - 5/11/2017,5.8,5.8
20,2017,5/12/2017 - 5/18/2017,16.42857143,16.42857143
21,2017,5/19/2017 - 5/25/2017,11.6,11.6
22,2017,5/26/2017 - 6/1/2017,9.857142857,9.857142857
23,2017,6/2/2017 - 6/8/2017,6.333333333,6.333333333
24,2017,6/9/2017 - 6/15/2017,24.8,24.8
25,2017,6/16/2017 - 6/22/2017,13.8,13.8
26,2017,6/23/2017 - 6/29/2017,10.25,10.25
27,2017,6/30/2017 - 7/6/2017,20.14285714,20.14285714
28,2017,7/7/2017 - 7/13/2017,18,18
29,2017,7/14/2017 - 7/20/2017,21.57142857,21.57142857
30,2017,7/21/2017 - 7/27/2017,15.14285714,15.14285714
31,2017,7/28/2017 - 8/3/2017,23.8,23.8
32,2017,8/4/2017 - 8/10/2017,30.28571429,30.28571429
33,2017,8/11/2017 - 8/17/2017,21.85714286,21.85714286
34,2017,8/18/2017 - 8/24/2017,25,25
35,2017,8/25/2017 - 8/31/2017,16.8,16.8
36,2017,9/1/2017 - 9/7/2017,20,20
37,2017,9/8/2017 - 9/14/2017,13.14285714,13.14285714
38,2017,9/15/2017 - 9/21/2017,31,31
39,2017,9/22/2017 - 9/28/2017,15.5,15.5
40,2017,9/29/2017 - 10/5/2017,9.571428571,9.571428571
41,2017,10/6/2017 - 10/12/2017,5.285714286,5.285714286
42,2017,10/13/2017 - 10/19/2017,13.14285714,13.14285714
43,2017,10/20/2017 - 10/26/2017,12,12
44,2017,10/27/2017 - 11/2/2017,9.571428571,9.571428571
45,2017,11/3/2017 - 11/9/2017,8.571428571,8.571428571
46,2017,11/10/2017 - 11/16/2017,10.85714286,10.85714286
47,2017,11/17/2017 - 11/23/2017,9.714285714,9.714285714
48,2017,11/24/2017 - 11/30/2017,9.857142857,9.857142857
49,2017,12/1/2017 - 12/7/2017,13.57142857,13.57142857
50,2017,12/8/2017 - 12/14/2017,10.14285714,10.14285714
51,2017,12/15/2017 - 12/21/2017,11.14285714,11.14285714
52,2017,12/22/2017 - 12/28/2017,11.85714286,11.85714286
1,2018,12/29/2017 - 1/4/2018,9.285714286,9.285714286
2,2018,1/5/2018 - 1/11/2018,17.42857143,17.42857143
3,2018,1/12/2018 - 1/18/2018,17.42857143,17.42857143
4,2018,1/19/2018 - 1/25/2018,21,21
5,2018,1/26/2018 - 2/1/2018,16,16
6,2018,2/2/2018 - 2/8/2018,16,16
7,2018,2/9/2018 - 2/15/2018,23.42857143,23.42857143
8,2018,2/16/2018 - 2/22/2018,16.57142857,16.57142857
9,2018,2/23/2018 - 3/1/2018,12.71428571,12.71428571
10,2018,3/2/2018 - 3/8/2018,9.285714286,9.285714286
11,2018,3/9/2018 - 3/15/2018,7.142857143,7.142857143
12,2018,3/16/2018 - 3/22/2018,13.28571429,13.28571429
13,2018,3/23/2018 - 3/29/2018,12.28571429,12.28571429
14,2018,3/30/2018 - 4/5/2018,8.857142857,8.857142857
15,2018,4/6/2018 - 4/12/2018,16.57142857,16.57142857
16,2018,4/13/2018 - 4/19/2018,9.428571429,9.428571429
17,2018,4/20/2018 - 4/26/2018,11,11
18,2018,4/27/2018 - 5/3/2018,18,18
19,2018,5/4/2018 - 5/10/2018,18.6,18.6
20,2018,5/11/2018 - 5/17/2018,16.14285714,16.14285714
21,2018,5/18/2018 - 5/24/2018,13,13
22,2018,5/25/2018 - 5/31/2018,25.28571429,25.28571429
23,2018,6/1/2018 - 6/7/2018,11.33333333,11.33333333
24,2018,6/8/2018 - 6/14/2018,11.5,11.5
25,2018,6/15/2018 - 6/21/2018,17.71428571,17.71428571
26,2018,6/22/2018 - 6/28/2018,10.85714286,10.85714286
27,2018,6/29/2018 - 7/5/2018,29,29
28,2018,7/6/2018 - 7/12/2018,16.14285714,16.14285714
29,2018,7/13/2018 - 7/19/2018,23.14285714,23.14285714
30,2018,7/20/2018 - 7/26/2018,13.57142857,13.57142857
31,2018,7/27/2018 - 8/2/2018,20,20
32,2018,8/3/2018 - 8/9/2018,29.85714286,29.85714286
33,2018,8/10/2018 - 8/16/2018,15.57142857,15.57142857
34,2018,8/17/2018 - 8/23/2018,20.14285714,20.14285714
35,2018,8/24/2018 - 8/30/2018,36.28571429,36.28571429
36,2018,8/31/2018 - 9/6/2018,19.14285714,19.14285714
37,2018,9/7/2018 - 9/13/2018,6.857142857,6.857142857
38,2018,9/14/2018 - 9/20/2018,12,12
39,2018,9/21/2018 - 9/27/2018,7.142857143,7.142857143
40,2018,9/28/2018 - 10/4/2018,6,6
41,2018,10/5/2018 - 10/11/2018,14.71428571,14.71428571
42,2018,10/12/2018 - 10/18/2018,6.428571429,6.428571429
43,2018,10/19/2018 - 10/25/2018,9,9
44,2018,10/26/2018 - 11/1/2018,3.857142857,3.857142857
45,2018,11/2/2018 - 11/8/2018,5.142857143,5.142857143
46,2018,11/9/2018 - 11/15/2018,7,7
47,2018,11/16/2018 - 11/22/2018,8.5,8.5
48,2018,11/23/2018 - 11/29/2018,5.142857143,5.142857143
49,2018,11/30/2018 - 12/6/2018,6.428571429,6.428571429
50,2018,12/7/2018 - 12/13/2018,15.57142857,15.57142857
51,2018,12/14/2018 - 12/20/2018,11.85714286,11.85714286
52,2018,12/21/2018 - 12/27/2018,7.714285714,7.714285714
1,2019,12/28/2018 - 1/3/2019,10.83333333,10.83333333
2,2019,1/4/2019 - 1/10/2019,13.42857143,13.42857143
3,2019,1/11/2019 - 1/17/2019,12,12
4,2019,1/18/2019 - 1/24/2019,11.85714286,11.85714286
5,2019,1/25/2019 - 1/31/2019,14,14
6,2019,2/1/2019 - 2/7/2019,15.42857143,15.42857143
7,2019,2/8/2019 - 2/14/2019,8.857142857,8.857142857
8,2019,2/15/2019 - 2/21/2019,13.14285714,13.14285714
9,2019,2/22/2019 - 2/28/2019,10.42857143,10.42857143
10,2019,3/1/2019 - 3/7/2019,13.71428571,13.71428571
11,2019,3/8/2019 - 3/14/2019,14.85714286,14.85714286
12,2019,3/15/2019 - 3/21/2019,11.85714286,11.85714286
13,2019,3/22/2019 - 3/28/2019,10.42857143,10.42857143
14,2019,3/29/2019 - 4/4/2019,12.85714286,12.85714286
15,2019,4/5/2019 - 4/11/2019,9.428571429,9.428571429
16,2019,4/12/2019 - 4/18/2019,9.142857143,9.142857143
17,2019,4/19/2019 - 4/25/2019,12,12
18,2019,4/26/2019 - 5/2/2019,2.5,2.5
19,2019,5/3/2019 - 5/9/2019,9.428571429,9.428571429
20,2019,5/10/2019 - 5/16/2019,4.571428571,4.571428571
21,2019,5/17/2019 - 5/23/2019,11.85714286,11.85714286
22,2019,5/24/2019 - 5/30/2019,11.42857143,11.42857143
23,2019,5/31/2019 - 6/6/2019,15.42857143,15.42857143
24,2019,6/7/2019 - 6/13/2019,10.14285714,10.14285714
25,2019,6/14/2019 - 6/20/2019,12.42857143,12.42857143
26,2019,6/21/2019 - 6/27/2019,15.66666667,15.66666667
27,2019,6/28/2019 - 7/4/2019,24.57142857,24.57142857
28,2019,7/5/2019 - 7/11/2019,24.85714286,24.85714286
29,2019,7/12/2019 - 7/18/2019,19,19
30,2019,7/19/2019 - 7/25/2019,19.66666667,19.66666667
31,2019,7/26/2019 - 8/1/2019,30.71428571,30.71428571
32,2019,8/2/2019 - 8/8/2019,16.42857143,16.42857143
33,2019,8/9/2019 - 8/15/2019,15,15
34,2019,8/16/2019 - 8/22/2019,20.85714286,20.85714286
35,2019,8/23/2019 - 8/29/2019,11.42857143,11.42857143
36,2019,8/30/2019 - 9/5/2019,9.714285714,9.714285714
37,2019,9/6/2019 - 9/12/2019,12.28571429,12.28571429
38,2019,9/13/2019 - 9/19/2019,9.428571429,9.428571429
39,2019,9/20/2019 - 9/26/2019,18.28571429,18.28571429
40,2019,9/27/2019 - 10/3/2019,10.42857143,10.42857143
41,2019,10/4/2019 - 10/10/2019,8.571428571,8.571428571
42,2019,10/11/2019 - 10/17/2019,6.166666667,6.166666667
43,2019,10/18/2019 - 10/24/2019,8.333333333,8.333333333
44,2019,10/25/2019 - 10/31/2019,6.428571429,6.428571429
45,2019,11/1/2019 - 11/7/2019,7.5,7.5
46,2019,11/8/2019 - 11/14/2019,8.428571429,8.428571429
47,2019,11/15/2019 - 11/21/2019,10.71428571,10.71428571
48,2019,11/22/2019 - 11/28/2019,11.57142857,11.57142857
49,2019,11/29/2019 - 12/5/2019,7.571428571,7.571428571
50,2019,12/6/2019 - 12/12/2019,9,9
51,2019,12/13/2019 - 12/19/2019,6.666666667,6.666666667
52,2019,12/20/2019 - 12/26/2019,12.33333333,12.33333333
1,2020,12/27/2019 - 1/2/2020,5.333333333,5.333333333
2,2020,1/3/2020 - 1/9/2020,6.833333333,6.833333333
3,2020,1/10/2020 - 1/16/2020,13.14285714,13.14285714
4,2020,1/17/2020 - 1/23/2020,10.42857143,10.42857143
5,2020,1/24/2020 - 1/30/2020,8.285714286,8.285714286
6,2020,1/31/2020 - 2/6/2020,11.57142857,11.57142857
7,2020,2/7/2020 - 2/13/2020,11.71428571,11.71428571
8,2020,2/14/2020 - 2/20/2020,12.14285714,12.14285714
9,2020,2/21/2020 - 2/27/2020,19.28571429,19.28571429
10,2020,2/28/2020 - 3/5/2020,5.428571429,5.428571429
11,2020,3/6/2020 - 3/12/2020,15.28571429,15.28571429
12,2020,3/13/2020 - 3/19/2020,10.42857143,10.42857143
13,2020,3/20/2020 - 3/26/2020,12.14285714,12.14285714
14,2020,3/27/2020 - 4/2/2020,7.142857143,7.142857143
15,2020,4/3/2020 - 4/9/2020,9.285714286,9.285714286
16,2020,4/10/2020 - 4/16/2020,12.42857143,12.42857143
17,2020,4/17/2020 - 4/23/2020,16,16
18,2020,4/24/2020 - 4/30/2020,14.14285714,14.14285714
19,2020,5/1/2020 - 5/7/2020,9.857142857,9.857142857
20,2020,5/8/2020 - 5/14/2020,10.14285714,10.14285714
21,2020,5/15/2020 - 5/19/2020,14,14
