Date No Year,date 20, pm25 20, o3 20, no2 20,date 19, pm25 19, o3 19, no2 19,date 18, pm25 18, o3 18, no2 18,date 17, pm25 17, o3 17, no2 17,date 16, pm25 16, o3 16, no2 16,average pm25,average o3,average no2,confidence 90 pm25,confidence 95 pm25,confidence 99 pm25,confidence 90 o3,confidence 95 o3,confidence 99 o3,confidence 90 no2,confidence 95 no2,confidence 99 no2
1/11/1900,1/11/2020,26,22,4,1/11/2019,14,29,3,1/11/2018,49,26,14,1/11/2017,27,28,4,1/12/2016,17,24,5,26.75,26.75,6.5,13.02752802,15.52325709,20.40101798,1.823612851,2.172968737,2.855765001,4.166601792,4.964812259,6.524869336
1/12/1900,1/12/2020,25,24,2,1/12/2019,10,29,5,1/12/2018,34,27,2,1/12/2017,25,28,5,1/13/2016,17,27,6,21.5,27.75,4.5,8.507249109,10.13701255,13.32229275,0.787413725,0.938261325,1.2330844,1.424485026,1.697378601,2.230733613
1/13/1900,1/13/2020,14,21,12,1/13/2019,19,23,12,1/13/2018,19,28,4,1/13/2017,27,31,2,1/14/2016,17,25,11,20.5,26.75,7.25,3.647225701,4.345937475,5.711530001,2.878493847,3.429936973,4.507701281,4.10527479,4.891736628,6.428831678
1/14/1900,1/14/2020,35,18,8,1/14/2019,30,25,13,1/14/2018,15,24,12,1/14/2017,22,25,5,1/15/2016,30,21,22,24.25,23.75,13,5.944843259,7.083717657,9.309583065,1.556828832,1.855075972,2.437983088,5.737372688,6.836501224,8.984685599
1/15/1900,1/15/2020,52,15,7,1/15/2019,29,22,5,1/15/2018,24,17,23,1/15/2017,24,28,4,1/16/2016,66,22,8,35.75,22.25,10,16.69850509,19.89749607,26.14974246,3.700920661,4.409918965,5.795615933,7.263476947,8.654966609,11.37455422
1/16/1900,1/16/2020,53,25,5,1/16/2019,45,26,3,1/16/2018,59,16,21,1/16/2017,30,28,4,1/17/2016,42,25,6,44,23.75,8.5,9.800346556,11.6778332,15.34727433,4.371258474,5.208675736,6.845360271,6.929891508,8.257475042,10.85216175
1/17/1900,1/17/2020,21,27,3,1/17/2019,33,26,7,1/17/2018,53,20,14,1/17/2017,39,23,11,1/18/2016,24,25,3,37.25,23.5,8.75,10.01370083,11.93206049,15.68138563,2.17593682,2.592788641,3.407501878,3.937068627,4.691306623,6.165422
1/18/1900,1/18/2020,22,25,4,1/18/2019,49,23,13,1/18/2018,68,22,6,1/18/2017,48,19,11,1/19/2016,19,27,2,46,22.75,8,16.62577385,19.81083145,26.03584586,2.717329389,3.237897677,4.255318865,4.084627845,4.867134276,6.396498707
1/19/1900,1/19/2020,31,25,7,1/19/2019,52,27,5,1/19/2018,60,24,6,1/19/2017,36,19,8,1/20/2016,8,28,6,39,24.5,6.25,18.8740533,22.48982165,29.55663579,3.323798395,3.960550069,5.205045096,1.034864379,1.233116965,1.620590398
1/20/1900,1/20/2020,28,27,6,1/20/2019,21,25,4,1/20/2018,66,30,4,1/20/2017,45,21,7,1/21/2016,16,28,8,37,26,5.75,19.00500069,22.64585509,29.76169848,3.220442502,3.837393926,5.043190489,1.695476311,2.020284633,2.655104073
1/21/1900,1/21/2020,17,29,7,1/21/2019,17,26,3,1/21/2018,47,22,7,1/21/2017,28,12,9,1/22/2016,21,26,12,28.25,21.5,7.75,10.93910108,13.0347429,17.13055596,5.434658779,6.475795353,8.510637729,3.104593138,3.699350896,4.861771194
1/22/1900,1/22/2020,20,30,4,1/22/2019,14,27,5,1/22/2018,25,27,6,1/22/2017,48,22,5,1/23/2016,29,26,20,29,25.5,9,11.6502402,13.88211742,18.24419486,1.957767409,2.332823753,3.065850103,6.043578131,7.201367515,9.464201187
1/23/1900,1/23/2020,35,29,14,1/23/2019,25,18,25,1/23/2018,23,22,12,1/23/2017,30,22,6,1/24/2016,37,28,13,28.75,22.5,14,5.130563633,6.113443638,8.034426852,3.390952621,4.040569265,5.310208146,6.545057017,7.798916463,10.24951362
1/24/1900,1/24/2020,37,21,17,1/24/2019,51,24,13,1/24/2018,40,29,2,1/24/2017,17,28,6,1/25/2016,49,25,11,39.25,26.5,8,12.81816677,15.27378777,20.07315973,1.957767409,2.332823753,3.065850103,4.084627845,4.867134276,6.396498707
1/25/1900,1/25/2020,56,27,8,1/25/2019,18,26,3,1/25/2018,7,29,4,1/25/2017,17,26,4,1/26/2016,45,26,13,21.75,26.75,6,13.38603333,15.95044252,20.9624348,1.23364022,1.469972988,1.931871978,3.857523687,4.596522981,6.04085518
1/26/1900,1/26/2020,42,22,4,1/26/2019,14,27,4,1/26/2018,14,26,18,1/26/2017,16,27,5,1/27/2016,38,24,7,20.5,26,8.5,9.62625905,11.47039514,15.07465451,1.163087154,1.385903824,1.821386368,5.308742253,6.325756559,8.313453329
