Date No Year,date 20, pm25 20, o3 20, no2 20,date 19, pm25 19, o3 19, no2 19,date 18, pm25 18, o3 18, no2 18,date 17, pm25 17, o3 17, no2 17,date 16, pm25 16, o3 16, no2 16,average pm25,average o3,average no2,confidence 90 pm25,confidence 95 pm25,confidence 99 pm25,confidence 90 o3,confidence 95 o3,confidence 99 o3,confidence 90 no2,confidence 95 no2,confidence 99 no2
4/2/1900,4/2/2020,21,27,2,4/3/2019,17,36,2,4/3/2018,19,35,6,4/3/2017,27,37,12,4/3/2016,17,31,1,20,34.75,5.25,3.915534817,4.665647506,6.131700205,2.162946036,2.577309167,3.387158402,4.10527479,4.891736628,6.428831678
4/3/1900,4/3/2020,18,30,1,4/4/2019,23,31,3,4/4/2018,37,32,4,4/4/2017,17,33,5,4/4/2016,15,31,4,23,31.75,4,8.16925569,9.734268552,12.79299741,0.787413725,0.938261325,1.2330844,0.671508681,0.800151946,1.05157791
4/4/1900,4/4/2020,14,31,2,4/5/2019,14,30,10,4/5/2018,19,31,3,4/5/2017,18,28,3,4/5/2016,24,34,4,18.75,30.75,5,3.382631253,4.030653743,5.297176941,2.056067034,2.449954981,3.219786629,2.768701221,3.29911099,4.335766795
4/5/1900,4/5/2020,19,22,3,4/6/2019,24,27,6,4/6/2018,15,35,2,4/6/2017,9,27,4,4/6/2016,17,33,3,16.25,30.5,3.75,5.086428932,6.060853898,7.965312219,3.390952621,4.040569265,5.310208146,1.404561178,1.673637871,2.199533005
4/6/1900,4/6/2020,28,29,3,4/7/2019,43,30,6,4/7/2018,26,35,2,4/7/2017,21,26,3,4/7/2016,17,27,11,26.75,29.5,5.5,9.41011066,11.21283844,14.73616764,3.323798395,3.960550069,5.205045096,3.323798395,3.960550069,5.205045096
4/7/1900,4/7/2020,17,34,4,4/8/2019,34,28,5,4/8/2018,22,33,5,4/8/2017,5,31,1,4/8/2016,38,29,2,24.75,30.25,3.25,12.18700384,14.52171075,19.08476298,1.823612851,2.172968737,2.855765001,1.695476311,2.020284633,2.655104073
4/8/1900,4/8/2020,16,26,6,4/9/2019,25,26,5,4/9/2018,22,32,3,4/9/2017,5,43,3,4/9/2016,24,31,2,19,33,3.25,7.7442159,9.227802403,12.12738807,5.892464764,7.021304831,9.227558708,1.034864379,1.233116965,1.620590398
4/9/1900,4/9/2020,24,25,4,4/10/2019,22,29,4,4/10/2018,18,33,3,4/10/2017,18,47,4,4/10/2016,16,30,2,18.5,34.75,3.25,2.069728759,2.46623393,3.241180796,6.860406912,8.17467904,10.74334936,0.787413725,0.938261325,1.2330844
4/10/1900,4/10/2020,33,26,4,4/11/2019,14,31,5,4/11/2018,26,42,3,4/11/2017,30,33,5,4/11/2016,16,29,4,21.5,33.75,4.25,6.352770251,7.569792649,9.948393889,4.718513326,5.622455414,7.389158947,0.787413725,0.938261325,1.2330844
4/11/1900,4/11/2020,17,31,4,4/12/2019,14,31,6,4/12/2018,43,36,4,4/12/2017,54,25,4,4/12/2016,27,28,2,34.5,30,4,14.47253108,17.24508443,22.66388269,3.857523687,4.596522981,6.04085518,1.343017363,1.600303892,2.103155819
4/12/1900,4/12/2020,13,36,2,4/13/2019,27,42,3,4/13/2018,50,34,4,4/13/2017,66,33,2,4/13/2016,20,31,4,40.75,35,3.25,17.39939767,20.73266109,27.24733536,3.972698933,4.733762751,6.221218812,0.787413725,0.938261325,1.2330844
4/13/1900,4/13/2020,23,30,2,4/14/2019,21,30,2,4/14/2018,35,32,2,4/14/2017,12,37,5,4/14/2016,18,34,12,21.5,33.25,5.25,8.016025015,9.55168294,12.55303924,2.455831281,2.926303462,3.845814652,3.87937952,4.622565812,6.075081262
4/14/1900,4/14/2020,27,33,2,4/15/2019,14,29,2,4/15/2018,25,30,1,4/15/2017,27,40,6,4/15/2016,32,23,14,24.5,30.5,5.75,6.245391752,7.441843275,9.780239908,5.796018566,6.906382098,9.076524636,4.85974688,5.790745573,7.610329707
4/15/1900,4/15/2020,15,30,1,4/16/2019,14,31,3,4/16/2018,21,35,1,4/16/2017,24,36,2,4/16/2016,34,31,9,23.25,33.25,3.75,6.827463592,8.135424652,10.69176035,2.162946036,2.577309167,3.387158402,2.955782593,3.522032194,4.628734918
4/16/1900,4/16/2020,21,28,1,4/17/2019,14,37,4,4/17/2018,12,27,1,4/17/2017,32,32,1,4/17/2016,31,31,9,22.25,31.75,3.75,8.81634895,10.50532773,13.80634094,3.382631253,4.030653743,5.297176941,3.104593138,3.699350896,4.861771194
4/17/1900,4/17/2020,19,33,1,4/18/2019,22,41,4,4/18/2018,14,27,1,4/18/2017,9,36,2,4/18/2016,31,31,7,19,33.75,3.5,7.916970592,9.433652316,12.39792071,4.99699024,5.954281124,7.825251852,2.17593682,2.592788641,3.407501878
4/18/1900,4/18/2020,21,37,3,4/19/2019,19,35,2,4/19/2018,18,32,1,4/19/2017,15,30,4,4/19/2016,37,35,2,22.25,33,2.25,8.207116358,9.77938232,12.85228695,2.014526044,2.400455838,3.154733729,1.034864379,1.233116965,1.620590398
4/19/1900,4/19/2020,25,35,1,4/20/2019,24,32,2,4/20/2018,11,33,2,4/20/2017,21,26,3,4/20/2016,19,39,5,18.75,32.5,3,4.572919886,5.448970129,7.161160635,4.37770101,5.216352491,6.855449238,1.163087154,1.385903824,1.821386368
4/20/1900,4/20/2020,39,32,2,4/21/2019,20,27,3,4/21/2018,13,40,4,4/21/2017,15,29,2,4/21/2016,15,44,8,15.75,35,4.25,2.455831281,2.926303462,3.845814652,6.815068791,8.120655336,10.67235018,2.162946036,2.577309167,3.387158402
4/21/1900,4/21/2020,26,31,2,4/22/2019,35,33,4,4/22/2018,21,40,9,4/22/2017,18,21,2,4/22/2016,27,42,2,25.25,34,4.25,6.168201101,7.349864942,9.659359888,7.802225818,9.296925485,12.21823119,2.717329389,3.237897677,4.255318865
4/22/1900,4/22/2020,23,31,1,4/23/2019,25,30,5,4/23/2018,31,42,5,4/23/2017,7,35,4,4/23/2016,31,35,2,23.5,35.5,4,9.34097299,11.13045583,14.62789853,4.056935134,4.834136375,6.353132114,1.163087154,1.385903824,1.821386368
4/23/1900,4/23/2020,19,34,2,4/24/2019,18,25,1,4/24/2018,25,46,11,4/24/2017,15,30,2,4/24/2016,15,37,3,18.25,34.5,4.25,3.87937952,4.622565812,6.075081262,7.492664858,8.928060849,11.73346089,3.76134785,4.481922402,5.890244489
4/24/1900,4/24/2020,22,31,13,4/25/2019,20,29,2,4/25/2018,38,39,3,4/25/2017,13,31,3,4/25/2016,22,32,3,23.25,32.75,2.75,8.687542188,10.35184501,13.60463045,3.577005161,4.26226454,5.601565124,0.411213407,0.489990996,0.643957326
4/25/1900,4/25/2020,32,39,5,4/26/2019,14,28,3,4/26/2018,25,24,2,4/26/2017,11,23,5,4/26/2016,20,31,3,17.5,26.5,3.25,5.136053804,6.11998558,8.043024422,3.040384866,3.62284202,4.761221488,1.034864379,1.233116965,1.620590398
4/26/1900,4/26/2020,34,30,4,4/27/2019,16,25,1,4/27/2018,16,33,2,4/27/2017,21,30,4,4/27/2016,18,31,4,17.75,29.75,2.75,1.943318743,2.315607106,3.043223593,2.799071796,3.335299762,4.383326903,1.23364022,1.469972988,1.931871978
4/27/1900,4/27/2020,34,31,4,4/28/2019,12,35,1,4/28/2018,23,36,5,4/28/2017,31,38,1,4/28/2016,20,27,6,21.5,34,3.25,6.458363692,7.695614995,10.11375248,3.972698933,4.733762751,6.221218812,2.162946036,2.577309167,3.387158402
4/28/1900,4/28/2020,29,36,7,4/29/2019,13,33,4,4/29/2018,24,23,1,4/29/2017,25,34,2,4/29/2016,30,30,5,23,30,3,5.892464764,7.021304831,9.227558708,4.084627845,4.867134276,6.396498707,1.501539059,1.789194144,2.35139969
4/29/1900,4/29/2020,25,32,6,4/30/2019,13,35,3,4/30/2018,14,24,3,4/30/2017,15,26,1,4/30/2016,30,32,13,18,29.25,5,6.613593514,7.880582737,10.3568413,4.213683533,5.020913613,6.598599014,4.454284678,5.307607561,6.975378729
4/30/1900,4/30/2020,30,31,1,5/1/2019,19,32,3,5/1/2018,11,47,4,5/1/2017,12,20,5,5/1/2016,43,29,5,21.25,32,4.25,12.27915641,14.63151731,19.22907326,9.231718085,11.00027058,14.45680611,0.787413725,0.938261325,1.2330844
5/1/1900,5/1/2020,26,26,1,5/2/2019,22,30,4,5/2/2018,20,49,2,5/2/2017,11,32,3,5/2/2016,31,23,5,21,33.5,3.5,6.748578725,8.041427536,10.5682272,9.071582739,10.80945755,14.20603528,1.061748451,1.265151312,1.662690666
