"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"06/21/2018","101","Ozone","Colliers Mills","34-029-0006","AQS","6","101","1",".","51","51"
"06/22/2018","52","PM2.5","Jersey City Firehouse","34-017-1003","AQS","6","45","1","13","52","32"
"06/23/2018","50","PM2.5","Jersey City Firehouse","34-017-1003","AQS","7","32","1",".","50","33"
"06/24/2018","63","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","46","1",".","63","32"
"06/25/2018","38","PM2.5","Jersey City Firehouse","34-017-1003","AQS","3","38","1","13","38","28"
"06/26/2018","50","Ozone","VALLEY CENTRAL HIGH SCHOOL","36-071-5001","AQS","5","50","1",".","33","29"
"06/27/2018","38","Ozone","RIVERHEAD","36-103-0004","AQS","5","38","1",".","34","34"
"06/28/2018","58","Ozone","Colliers Mills","34-029-0006","AQS","6","58","1","11","53","43"
"06/29/2018","80","Ozone","Colliers Mills","34-029-0006","AQS","6","80","1",".","59","40"
"06/30/2018","129","Ozone","PFIZER LAB SITE","36-005-0133","AQS","6","129","3",".","56","45"
"07/01/2018","174","Ozone","Bayonne","34-017-0006","AQS","7","174","4","31","77","58"
"07/02/2018","210","Ozone","Rockland County","36-087-0005","AQS","7","210","6",".","93","53"
"07/03/2018","91","PM2.5","NEWBURGH","36-071-0002","AQS","7","90","3",".","91","51"
"07/04/2018","90","Ozone","WHITE PLAINS","36-119-2004","AQS","14","90","3","21","89","32"
"07/05/2018","57","PM2.5","Fort Lee Near Road","34-003-0010","AQS","6","41","3",".","57","22"
"07/06/2018","38","PM2.5","Fort Lee Near Road","34-003-0010","AQS","3","37","3",".","38","24"
"07/07/2018","51","Ozone","Flemington","34-019-0001","AQS","3","51","0","11","25","19"
"07/08/2018","67","Ozone","Rutgers University","34-023-0011","AQS","6","67","3",".","43","27"
"07/09/2018","129","Ozone","Leonia","34-003-0006","AQS","15","129","1",".","51","35"
"07/10/2018","172","Ozone","Flax Pond","36-103-0044","AQS","5","172","3","18","58","42"
"07/11/2018","71","Ozone","Colliers Mills","34-029-0006","AQS","5","71","1",".","56","28"
"07/12/2018","74","Ozone","Flemington","34-019-0001","AQS","5","74","1",".","52","31"
"07/13/2018","105","Ozone","Rockland County","36-087-0005","AQS","6","105","3","24","61","48"
"07/14/2018","108","Ozone","Flax Pond","36-103-0044","AQS","5","108","3",".","54","22"
"07/15/2018","84","Ozone","RIVERHEAD","36-103-0004","AQS","5","84","1",".","46","28"
"07/16/2018","133","Ozone","Rutgers University","34-023-0011","AQS","6","133","3","20","64","46"
"07/17/2018","64","PM2.5","Fort Lee Near Road","34-003-0010","AQS","6","61","3",".","64","31"
"07/18/2018","48","PM2.5","Elizabeth Lab","34-039-0004","AQS","5","47","6",".","48","23"
"07/19/2018","87","Ozone","Flemington","34-019-0001","AQS","5","87","3","16","51","31"
"07/20/2018","97","Ozone","VALLEY CENTRAL HIGH SCHOOL","36-071-5001","AQS","6","97","4",".","45","36"
"07/21/2018","38","Ozone","Leonia","34-003-0006","AQS","5","38","7",".","34","23"
"07/22/2018","38","PM2.5","Fort Lee Near Road","34-003-0010","AQS","5","38","0","17","38","11"
"07/23/2018","52","PM2.5","Fort Lee Near Road","34-003-0010","AQS","5","31","1",".","52","29"
"07/24/2018","49","PM2.5","Fort Lee Near Road","34-003-0010","AQS","5","24","1",".","49","18"
"07/25/2018","43","PM2.5","Elizabeth Lab","34-039-0004","AQS","5","32","1","15","43","26"
"07/26/2018","58","Ozone","RIVERHEAD","36-103-0004","AQS","5","58","1",".","41","37"
"07/27/2018","67","Ozone","Flemington","34-019-0001","AQS","7","67","3",".","60","43"
"07/28/2018","126","Ozone","WHITE PLAINS","36-119-2004","AQS","7","126","1","14","65","35"
"07/29/2018","54","Ozone","BABYLON","36-103-0002","AQS","5","54","1",".","38","25"
"07/30/2018","51","PM2.5","Elizabeth Lab","34-039-0004","AQS","8","43","1",".","51","39"
"07/31/2018","71","Ozone","Rockland County","36-087-0005","AQS","8","71","1","19","49","36"
"08/01/2018","49","SO2","MILLBROOK","36-027-0007","AQS","3","42","49",".","45","26"
"08/02/2018","44","Ozone","WHITE PLAINS","36-119-2004","AQS","5","44","3",".","38","30"
"08/03/2018","45","PM2.5","Fort Lee Near Road","34-003-0010","AQS","5","31","1","13","45","26"
"08/04/2018","41","Ozone","Flemington","34-019-0001","AQS","6","41","1",".","34","17"
"08/05/2018","87","Ozone","QUEENS COLLEGE 2","36-081-0124","AQS","6","87","3",".","57","45"
"08/06/2018","122","Ozone","PFIZER LAB SITE","36-005-0133","AQS","7","122","4","35","75","35"
"08/07/2018","97","Ozone","Leonia","34-003-0006","AQS","5","97","4",".","81","29"
"08/08/2018","112","Ozone","Leonia","34-003-0006","AQS","6","112","4",".","60","39"
"08/09/2018","58","Ozone","RIVERHEAD","36-103-0004","AQS","5","58","4","12","55","30"
"08/10/2018","77","Ozone","Rutgers University","34-023-0011","AQS","6","77","6",".","68","43"
"08/11/2018","55","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","44","4",".","55","40"
"08/12/2018","77","Ozone","Rutgers University","34-023-0011","AQS","7","77","3","14","51","25"
"08/13/2018","33","PM2.5","Fort Lee Near Road","34-003-0010","AQS","6","33","3",".","33","31"
"08/14/2018","54","PM2.5","Fort Lee Near Road","34-003-0010","AQS","6","50","3",".","54","51"
"08/15/2018","69","PM2.5","FRESHKILLS WEST","36-085-0111","AQS","5","48","3","20","69","23"
"08/16/2018","97","Ozone","BABYLON","36-103-0002","AQS","6","97","6",".","95","33"
"08/17/2018","115","Ozone","CCNY","36-061-0135","AQS","7","115","6",".","77","40"
"08/18/2018","61","PM2.5","IS 74","36-005-0112","AQS","6","58","6","16","61","23"
"08/19/2018","30","PM2.5","Chester","34-027-3001","AQS","6","28","3",".","30","19"
"08/20/2018","33","PM2.5","Queens College Near Road","36-081-0125","AQS","7","33","1",".","33","25"
"08/21/2018","47","PM2.5","Jersey City Firehouse","34-017-1003","AQS","6","40","1","12","47","26"
"08/22/2018","45","Ozone","RIVERHEAD","36-103-0004","AQS","5","45","3",".","34","24"
"08/23/2018","49","PM2.5","Elizabeth Lab","34-039-0004","AQS","5","34","1",".","49","32"
"08/24/2018","64","Ozone","WHITE PLAINS","36-119-2004","AQS","8","64","3","22","59","44"
"08/25/2018","51","Ozone","Ramapo","34-031-5001","AQS","7","51","3",".","48","37"
"08/26/2018","71","Ozone","Rutgers University","34-023-0011","AQS","6","71","4",".","64","24"
"08/27/2018","77","Ozone","Colliers Mills","34-029-0006","AQS","7","77","4","22","73","43"
"08/28/2018","115","Ozone","Flax Pond","36-103-0044","AQS","8","115","6",".","92","32"
"08/29/2018","143","Ozone","Flax Pond","36-103-0044","AQS","6","143","1",".","79","29"
"08/30/2018","64","Ozone","Monmouth University","34-025-0005","AQS","5","64","1","18","55","25"
"08/31/2018","34","PM2.5","Fort Lee Near Road","34-003-0010","AQS","8","31","1",".","34","23"
"09/01/2018","41","Ozone","Leonia","34-003-0006","AQS","8","41","1",".","37","16"
"09/02/2018","44","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","44","1","13","44","24"
"09/03/2018","61","Ozone","Leonia","34-003-0006","AQS","6","61","1",".","58","36"
"09/04/2018","71","Ozone","QUEENS COLLEGE 2","36-081-0124","AQS","6","71","1",".","49","40"
"09/05/2018","101","Ozone","Rockland County","36-087-0005","AQS","7","101","1","21","60","41"
"09/06/2018","97","Ozone","Flax Pond","36-103-0044","AQS","6","97","1",".","66","36"
"09/07/2018","51","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","30","3",".","51","31"
"09/08/2018","34","PM2.5","PS 19","36-061-0128","AQS","6","29","1","9","34","16"
"09/09/2018","27","PM2.5","Fort Lee Near Road","34-003-0010","AQS","5","26","1",".","27","22"
"09/10/2018","31","Ozone","RIVERHEAD","36-103-0004","AQS","5","31","1",".","20","28"
"09/11/2018","61","PM2.5","FRESHKILLS WEST","36-085-0111","AQS","10","29","3","23","61","39"
"09/12/2018","57","PM2.5","Elizabeth Lab","34-039-0004","AQS","10","18","3",".","57","30"
"09/13/2018","32","PM2.5","Elizabeth Lab","34-039-0004","AQS","8","27","1",".","32","27"
"09/14/2018","33","PM2.5","Elizabeth Lab","34-039-0004","AQS","8","28","3","9","33","27"
"09/15/2018","50","Ozone","Rutgers University","34-023-0011","AQS","7","50","1",".","44","33"
"09/16/2018","50","Ozone","Leonia","34-003-0006","AQS","10","50","1",".","48","29"
"09/17/2018","41","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","34","1","19","41","34"
"09/18/2018","31","PM2.5","Fort Lee Near Road","34-003-0010","AQS","6","29","1",".","31","29"
"09/19/2018","49","PM2.5","FRESHKILLS WEST","36-085-0111","AQS","6","41","3",".","49","26"
"09/20/2018","40","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","29","3","10","40","28"
"09/21/2018","36","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","31","1",".","36","26"
"09/22/2018","31","PM2.5","Flemington","34-019-0001","AQS","6","28","1",".","31","19"
"09/23/2018","32","PM2.5","FRESHKILLS WEST","36-085-0111","AQS","6","26","1","11","32","24"
"09/24/2018","35","PM2.5","FRESHKILLS WEST","36-085-0111","AQS","7","31","1",".","35","25"
"09/25/2018","42","PM2.5","Jersey City Firehouse","34-017-1003","AQS","7","31","1",".","42","31"
"09/26/2018","43","PM2.5","Fort Lee Near Road","34-003-0010","AQS","6","31","1","11","43","25"
"09/27/2018","52","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","34","1",".","52","31"
"09/28/2018","35","PM2.5","Elizabeth Lab","34-039-0004","AQS","9","25","1",".","35","27"
"09/29/2018","41","Ozone","Colliers Mills","34-029-0006","AQS","9","41","1","17","35","25"
"09/30/2018","40","PM2.5","Flemington","34-019-0001","AQS","7","37","1",".","40","23"
"10/01/2018","60","PM2.5","Fort Lee Near Road","34-003-0010","AQS","6","49","3",".","60","53"
"10/02/2018","55","PM2.5","Fort Lee Near Road","34-003-0010","AQS","8","42","1","15","55","39"
"10/03/2018","42","NO2","Fort Lee Near Road","34-003-0010","AQS","5","33","1",".","33","42"
"10/04/2018","64","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","47","3",".","64","49"
"10/05/2018","43","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","28","1","16","43","28"
"10/06/2018","36","PM2.5","Fort Lee Near Road","34-003-0010","AQS","6","34","3",".","36","19"
"10/07/2018","51","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","30","1",".","51","42"
"10/08/2018","50","PM2.5","Elizabeth Lab","34-039-0004","AQS","9","20","1","13","50","32"
"10/09/2018","47","PM2.5","Fort Lee Near Road","34-003-0010","AQS","11","29","3",".","47","32"
"10/10/2018","47","PM2.5","Fort Lee Near Road","34-003-0010","AQS","8","31","3",".","47","31"
"10/11/2018","33","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","23","3","14","33","32"
"10/12/2018","44","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","31","1",".","44","24"
