,Date wo Year,Date 20,Ozone 20,PM25 20,Date 19,Ozone 19,PM25 19,Date 18,Ozone 18,PM25 18,Date 17,Ozone 17,PM25 17,Date 16,Ozone 16,PM25 16,Avg Ozone,confidence 90 Ozone,confidence 95 Ozone,confidence 99 Ozone,Avg PM25,confidence 90 PM25,confidence 95 PM25,confidence 99 PM25,DateMonth,DateMonthaxis
11,1/12/1900,1/12/2020,32,40,1/12/2019,35,43,1/12/2018,32,55,1/12/2017,31,56,1/12/2016,31,55,32.25,1.556828832,1.855075972,2.437983088,52.25,5.086428932,6.060853898,7.965312219,12-Jan, 
12,1/13/1900,1/13/2020,21,51,1/13/2019,35,42,1/13/2018,33,44,1/13/2017,40,44,1/13/2016,36,48,36,2.421158982,2.88498887,3.791518074,44.5,2.069728759,2.46623393,3.241180796,13-Jan, 
13,1/14/1900,1/14/2020,20,60,1/14/2019,33,42,1/14/2018,37,43,1/14/2017,31,44,1/14/2016,26,61,31.75,3.76134785,4.481922402,5.890244489,47.5,7.432239155,8.856059183,11.63883466,14-Jan, 
14,1/15/1900,1/15/2020,28,62,1/15/2019,30,59,1/15/2018,33,58,1/15/2017,36,58,1/15/2016,28,105,31.75,2.878493847,3.429936973,4.507701281,70,19.1938749,22.87091259,30.05747418,15-Jan,15-Jan
15,1/16/1900,1/16/2020,31,55,1/16/2019,34,67,1/16/2018,25,69,1/16/2017,31,62,1/16/2016,31,52,30.25,3.104593138,3.699350896,4.861771194,62.5,6.245391752,7.441843275,9.780239908,16-Jan, 
16,1/17/1900,1/17/2020,37,37,1/17/2019,34,44,1/17/2018,26,62,1/17/2017,24,81,1/17/2016,34,42,29.5,4.325892073,5.154618335,6.774316804,57.25,14.97592332,17.84491329,23.45219143,17-Jan, 
17,1/18/1900,1/18/2020,34,32,1/18/2019,31,71,1/18/2018,31,58,1/18/2017,31,53,1/18/2016,32,51,31.25,0.411213407,0.489990996,0.643957326,58.25,7.39803281,8.815299809,11.58526776,18-Jan, 
18,1/19/1900,1/19/2020,34,40,1/19/2019,34,56,1/19/2018,33,72,1/19/2017,24,49,1/19/2016,35,41,31.5,4.166601792,4.964812259,6.524869336,54.5,10.83815844,12.91446232,16.97248049,19-Jan, 
19,1/20/1900,1/20/2020,39,35,1/20/2019,34,37,1/20/2018,39,56,1/20/2017,23,56,1/20/2016,35,42,32.75,5.63327348,6.712459367,8.821666965,47.75,8.012508443,9.547492687,12.54753232,20-Jan, 
20,1/21/1900,1/21/2020,38,45,1/21/2019,37,50,1/21/2018,40,67,1/21/2017,13,64,1/21/2016,37,48,31.75,10.34592011,12.32792418,16.20163871,57.25,7.927642766,9.446368995,12.41463326,21-Jan, 
