date, pm25, o3, no2, co
2019/5/26, 10, 500, , 
2019/5/27, 27, 500, , 
2019/5/28, 18, 500, 5, 
2019/5/29, 21, 449, 3, 1
2019/5/30, 10, 500, , 2
2019/5/31, 11, 499, , 2
2019/6/1, 30, 500, , 3
2019/6/2, 36, 500, 5, 2
2019/6/3, 34, 500, , 1
2019/6/4, 11, 500, , 1
2019/6/5, 8, 500, , 
2019/6/6, 38, 500, , 
2019/6/7, 26, 500, 2, 
2019/6/8, 23, 500, 5, 
2019/6/9, 12, 500, , 
2019/6/10, 11, , , 
2019/6/11, 15, 500, , 
2019/6/12, 10, 500, 1, 
2019/6/13, 9, , , 
2019/6/14, 6, , , 
2019/6/15, 13, 500, 9, 
2019/6/16, 16, 500, 5, 
2019/6/17, 34, 500, 3, 
2019/6/18, 23, 500, , 
2019/6/19, 30, , , 
2019/6/20, 8, 500, , 
2019/6/21, 22, 499, , 
2019/6/22, 13, 500, , 
2019/6/23, 11, 500, , 
2019/6/24, 15, 500, 3, 
2019/6/25, 39, 500, , 
2019/6/26, 36, 500, 5, 
2019/6/27, 38, 500, 1, 
2019/6/28, 25, 500, 4, 
2019/6/29, 25, 500, , 
2019/6/30, 41, 500, , 
2019/7/1, 15, 500, , 
2019/1/2, 41, , , 
2019/1/3, 37, , , 
2019/1/4, 41, , , 
2019/1/5, 51, , , 
2019/1/6, 40, , , 
2019/1/7, 46, , , 
2019/1/8, 29, , , 
2019/1/9, 34, , , 
2019/1/10, 31, , , 
2019/1/11, 32, , , 
2019/1/12, 37, , , 
2019/1/13, 33, , , 
2019/1/14, 28, , , 
2019/1/15, 35, , , 
2019/1/16, 43, , , 
2019/1/17, 49, , , 
2019/1/18, 28, , , 
2019/1/19, 45, , , 
2019/1/20, 34, , , 
2019/1/21, 32, , , 
2019/1/22, 36, , , 
2019/1/23, 36, , , 
2019/1/24, 28, , , 
2019/1/25, 26, , , 
2019/1/26, 36, , , 
2019/1/27, 35, , , 
2019/1/28, 35, , , 
2019/1/29, 36, , , 
2019/1/30, 41, , , 
2019/1/31, 41, , , 
2019/2/1, 38, , , 
2019/2/2, 44, , , 
2019/2/3, 49, 500, , 
2019/2/4, 62, , , 
2019/2/5, 59, , , 
2019/2/6, 58, 500, 1, 
2019/2/7, 20, 500, , 
2019/2/8, 25, 500, , 
2019/2/9, 27, 500, 7, 
2019/2/10, 29, 500, , 
2019/2/11, 21, 500, , 
2019/2/12, 42, 500, 1, 
2019/2/13, 12, 500, , 
2019/2/14, 33, 500, , 
2019/2/15, 32, 500, , 
2019/2/16, 37, 500, 5, 
2019/2/17, 32, 500, , 
2019/2/18, 20, 500, , 
2019/2/19, 34, 500, , 
2019/2/20, 25, 500, , 
2019/2/21, 22, 500, 8, 
2019/2/22, 31, 500, , 
2019/2/23, 42, 500, 5, 
2019/2/24, 25, 486, 2, 
2019/2/25, 20, 500, , 
2019/2/26, 32, 500, , 
2019/2/27, 25, , 2, 
2019/2/28, 12, 500, , 
2019/3/1, 28, 500, , 
2019/3/2, 28, 500, , 
2019/3/3, 37, 500, 8, 
2019/3/4, 33, 500, 6, 
2019/3/5, 33, 500, , 
2019/3/6, 29, 500, 7, 
2019/3/7, 32, 500, , 
2019/3/8, 36, 500, , 
2019/3/9, 35, 500, , 
2019/3/10, 45, 500, , 
2019/3/11, 28, 500, , 
2019/3/12, 25, 500, 8, 
2019/3/13, 29, 500, , 
2019/3/14, 21, 500, , 
2019/3/15, 19, 500, , 
2019/3/16, 41, 500, 3, 
2019/3/17, 17, 500, 3, 
2019/3/18, 14, 500, , 
2019/3/19, 19, 500, , 
2019/3/20, 23, 500, 6, 
2019/3/21, 27, 500, , 
2019/3/22, 19, 500, , 
2019/3/23, 17, , 7, 
2019/3/24, 17, , , 
2019/3/25, 15, 500, , 
2019/3/26, 31, 500, 4, 
2019/3/27, 13, 500, , 
2019/3/28, 17, 500, , 
2019/3/29, 16, 500, , 
2019/3/30, 39, 500, , 
2019/3/31, 31, 500, , 
2019/4/1, 30, 500, 3, 
2018/10/2, 37, , , 
2018/10/3, 30, , , 
2018/10/4, 21, , , 
2018/10/5, 34, , , 
2018/10/6, 14, , , 
2018/10/7, 14, , , 
2018/10/8, 38, , , 
2018/10/9, 16, , , 
2018/10/10, 17, , , 
2018/10/11, 18, , , 
2018/10/12, 12, , , 
2018/10/13, 9, , , 
2018/10/14, 5, , , 
2018/10/15, 17, , , 
2018/10/16, 26, , , 
2018/10/17, 13, , , 
2018/10/18, 26, , , 
2018/10/19, 14, , , 
2018/10/20, 27, , , 
2018/10/21, 23, 23, 4, 1
2018/10/22, 17, 19, 18, 3
2018/10/23, 20, 24, 13, 2
2018/10/24, 26, 21, 8, 1
2018/10/25, 21, 15, 10, 2
2018/10/26, 16, 16, 16, 3
2018/10/27, 10, 24, 4, 1
2018/10/28, 9, , , 
2018/10/29, 11, , , 
2018/10/30, 22, , , 
