"Date","Nitrogen Dioxide AQI Value","Main Pollutant","Site Name","Site ID","Source"
"05/18/2016","28","","PFIZER LAB SITE","36-005-0133","AQS"
"05/19/2016","50","","IS 52","36-005-0110","AQS"
"05/20/2016","32","","IS 52","36-005-0110","AQS"
"05/21/2016","45","","IS 52","36-005-0110","AQS"
"05/22/2016","33","","IS 52","36-005-0110","AQS"
"05/23/2016","40","","IS 52","36-005-0110","AQS"
"05/24/2016","34","","IS 52","36-005-0110","AQS"
"05/25/2016","40","","IS 52","36-005-0110","AQS"
"05/26/2016","50","","PFIZER LAB SITE","36-005-0133","AQS"
"05/27/2016","66","","IS 52","36-005-0110","AQS"
"05/28/2016","36","","PFIZER LAB SITE","36-005-0133","AQS"
"05/29/2016","20","","IS 52","36-005-0110","AQS"
"05/30/2016","21","","IS 52","36-005-0110","AQS"
"05/31/2016","40","","PFIZER LAB SITE","36-005-0133","AQS"
"06/01/2016","33","","IS 52","36-005-0110","AQS"
"06/02/2016","16","","IS 52","36-005-0110","AQS"
"06/03/2016","31","","PFIZER LAB SITE","36-005-0133","AQS"
"06/04/2016","26","","PFIZER LAB SITE","36-005-0133","AQS"
"06/05/2016","20","","PFIZER LAB SITE","36-005-0133","AQS"
"06/06/2016","19","","PFIZER LAB SITE","36-005-0133","AQS"
"06/07/2016","20","","IS 52","36-005-0110","AQS"
"06/08/2016","12","","IS 52","36-005-0110","AQS"
"06/09/2016","9","","IS 52","36-005-0110","AQS"
"06/10/2016","19","","PFIZER LAB SITE","36-005-0133","AQS"
"06/11/2016","43","","PFIZER LAB SITE","36-005-0133","AQS"
"06/12/2016","40","","PFIZER LAB SITE","36-005-0133","AQS"
"06/13/2016","8","","IS 52","36-005-0110","AQS"
"06/14/2016","17","","IS 52","36-005-0110","AQS"
"06/15/2016","32","","PFIZER LAB SITE","36-005-0133","AQS"
"06/16/2016","61","","IS 52","36-005-0110","AQS"
"06/17/2016","61","","IS 52","36-005-0110","AQS"
"06/18/2016","39","","IS 52","36-005-0110","AQS"
"06/19/2016","30","","IS 52","36-005-0110","AQS"
"06/20/2016","42","","PFIZER LAB SITE","36-005-0133","AQS"
"06/21/2016","23","","IS 52","36-005-0110","AQS"
"06/22/2016","33","","IS 52","36-005-0110","AQS"
"06/23/2016","50","","IS 52","36-005-0110","AQS"
"06/24/2016","30","","IS 52","36-005-0110","AQS"
"06/25/2016","24","","IS 52","36-005-0110","AQS"
"06/26/2016","36","","PFIZER LAB SITE","36-005-0133","AQS"
"06/27/2016","33","","IS 52","36-005-0110","AQS"
"06/28/2016","22","","IS 52","36-005-0110","AQS"
"06/29/2016","32","","IS 52","36-005-0110","AQS"
"06/30/2016","25","","IS 52","36-005-0110","AQS"
"07/01/2016","36","","IS 52","36-005-0110","AQS"
"07/02/2016","31","","IS 52","36-005-0110","AQS"
"07/03/2016","13","","IS 52","36-005-0110","AQS"
"07/04/2016","19","","PFIZER LAB SITE","36-005-0133","AQS"
"07/05/2016","31","","IS 52","36-005-0110","AQS"
"07/06/2016","41","","PFIZER LAB SITE","36-005-0133","AQS"
"07/07/2016","49","","IS 52","36-005-0110","AQS"
"07/08/2016","42","","IS 52","36-005-0110","AQS"
"07/09/2016","12","","IS 52","36-005-0110","AQS"
"07/10/2016","16","","IS 52","36-005-0110","AQS"
"07/11/2016","21","","PFIZER LAB SITE","36-005-0133","AQS"
"07/12/2016","28","","IS 52","36-005-0110","AQS"
"07/13/2016","33","","IS 52","36-005-0110","AQS"
"07/14/2016","53","","PFIZER LAB SITE","36-005-0133","AQS"
"07/15/2016","28","","IS 52","36-005-0110","AQS"
"07/16/2016","18","","IS 52","36-005-0110","AQS"
"07/17/2016","17","","PFIZER LAB SITE","36-005-0133","AQS"
"07/18/2016","32","","IS 52","36-005-0110","AQS"
"07/19/2016","12","","IS 52","36-005-0110","AQS"
"07/20/2016","35","","PFIZER LAB SITE","36-005-0133","AQS"
