Week,Date,Average of Queens Carbon Monoxide AQI Value,Average of Bronx Carbon Monoxide AQI Value,Average of cluster 1 Carbon Monoxide AQI Value,,,,,Row Labels,Average of Nitrogen Dioxide AQI Value,
40,9/29/2017 - 10/5/2017,34.86,0,3.585,,,,,9/22/2017 - 9/28/2017,28.42857143,28.43
41,10/6/2017 - 10/12/2017,29.57,0,2.93,,,,,9/29/2017 - 10/5/2017,34.85714286,34.86
42,10/13/2017 - 10/19/2017,26.86,0,2.355,,,,,10/6/2017 - 10/12/2017,29.57142857,29.57
43,10/20/2017 - 10/26/2017,35,0,3.43,,,,,10/13/2017 - 10/19/2017,26.85714286,26.86
44,10/27/2017 - 11/2/2017,29.71,0,2.43,,,,,10/20/2017 - 10/26/2017,35,35
45,11/3/2017 - 11/9/2017,24.43,0,2.5,,,,,10/27/2017 - 11/2/2017,29.71428571,29.71
46,11/10/2017 - 11/16/2017,32.14,0,3.285,,,,,11/3/2017 - 11/9/2017,24.42857143,24.43
47,11/17/2017 - 11/23/2017,33.57,0,2.57,,,,,11/10/2017 - 11/16/2017,32.14285714,32.14
48,11/24/2017 - 11/30/2017,34.14,0,2.645,,,,,11/17/2017 - 11/23/2017,33.57142857,33.57
49,12/1/2017 - 12/7/2017,28.86,0,3.07,,,,,11/24/2017 - 11/30/2017,34.14285714,34.14
50,12/8/2017 - 12/14/2017,29.57,0,2.43,,,,,12/1/2017 - 12/7/2017,28.85714286,28.86
51,12/15/2017 - 12/21/2017,36,0,3.07,,,,,12/8/2017 - 12/14/2017,29.57142857,29.57
52,12/22/2017 - 12/28/2017,27.14,0,2.355,,,,,12/15/2017 - 12/21/2017,36,36
1,12/29/2017 - 1/4/2018,31.71,3.71,4.355,,,,,12/22/2017 - 12/28/2017,27.14285714,27.14
2,1/5/2018 - 1/11/2018,33.57,6.57,6.355,,,,,12/29/2017 - 1/4/2018,31.71428571,31.71
3,1/12/2018 - 1/18/2018,28,5.43,5.5,,,,,1/5/2018 - 1/11/2018,33.57142857,33.57
4,1/19/2018 - 1/25/2018,37.71,6,6,,,,,1/12/2018 - 1/18/2018,28,28
5,1/26/2018 - 2/1/2018,35.14,5.29,5.5,,,,,1/19/2018 - 1/25/2018,37.71428571,37.71
6,2/2/2018 - 2/8/2018,36,6.86,6.43,,,,,1/26/2018 - 2/1/2018,35.14285714,35.14
7,2/9/2018 - 2/15/2018,37.86,8,7.57,,,,,2/2/2018 - 2/8/2018,36,36
8,2/16/2018 - 2/22/2018,36.57,7.14,6.925,,,,,2/9/2018 - 2/15/2018,37.85714286,37.86
9,2/23/2018 - 3/1/2018,39.43,5.86,6.215,,,,,2/16/2018 - 2/22/2018,36.57142857,36.57
10,3/2/2018 - 3/8/2018,23.43,3.29,3.79,,,,,2/23/2018 - 3/1/2018,39.42857143,39.43
11,3/9/2018 - 3/15/2018,24.43,3.57,3.57,,,,,3/2/2018 - 3/8/2018,23.42857143,23.43
12,3/16/2018 - 3/22/2018,32,4,4.215,,,,,3/9/2018 - 3/15/2018,24.42857143,24.43
13,3/23/2018 - 3/29/2018,35.86,5.14,5.285,,,,,3/16/2018 - 3/22/2018,32,32
14,3/30/2018 - 4/5/2018,31.57,5.29,4.79,,,,,3/23/2018 - 3/29/2018,35.85714286,35.86
15,4/6/2018 - 4/12/2018,33.29,5.14,4.785,,,,,3/30/2018 - 4/5/2018,31.57142857,31.57
16,4/13/2018 - 4/19/2018,23.71,4.29,4,,,,,4/6/2018 - 4/12/2018,33.28571429,33.29
17,4/20/2018 - 4/26/2018,37.71,4.71,4.71,,,,,4/13/2018 - 4/19/2018,23.71428571,23.71
18,4/27/2018 - 5/3/2018,40.14,4.57,4.855,,,,,4/20/2018 - 4/26/2018,37.71428571,37.71
19,5/4/2018 - 5/10/2018,33.86,4.71,4.855,,,,,4/27/2018 - 5/3/2018,40.14285714,40.14
20,5/11/2018 - 5/17/2018,27.71,4.86,5.075,,,,,5/4/2018 - 5/10/2018,33.85714286,33.86
21,5/18/2018 - 5/24/2018,27.71,5.29,5.43,,,,,5/11/2018 - 5/17/2018,27.71428571,27.71
22,5/25/2018 - 5/31/2018,27.71,5.57,5.07,,,,,5/18/2018 - 5/24/2018,27.71428571,27.71
23,6/1/2018 - 6/7/2018,23.29,4.14,4,,,,,5/25/2018 - 5/31/2018,27.71428571,27.71
24,6/8/2018 - 6/14/2018,27.29,5.29,4.645,,,,,6/1/2018 - 6/7/2018,23.28571429,23.29
25,6/15/2018 - 6/21/2018,27.14,4.57,4.57,,,,,6/8/2018 - 6/14/2018,27.28571429,27.29
26,6/22/2018 - 6/28/2018,19.71,3.57,3.855,,,,,6/15/2018 - 6/21/2018,27.14285714,27.14
27,6/29/2018 - 7/5/2018,29.71,5.14,4.785,,,,,6/22/2018 - 6/28/2018,19.71428571,19.71
28,7/6/2018 - 7/12/2018,26.57,2.86,3.36,,,,,6/29/2018 - 7/5/2018,29.71428571,29.71
29,7/13/2018 - 7/19/2018,24.14,3.71,3.925,,,,,7/6/2018 - 7/12/2018,26.57142857,26.57
30,7/20/2018 - 7/26/2018,16.57,2.71,2.64,,,,,7/13/2018 - 7/19/2018,24.14285714,24.14
