"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"04/18/2019","53","","IS 52","36-005-0110","AQS"
"04/19/2019","52","","IS 52","36-005-0110","AQS"
"04/20/2019","38","","IS 52","36-005-0110","AQS"
"04/21/2019","29","","IS 52","36-005-0110","AQS"
"04/22/2019","27","","IS 52","36-005-0110","AQS"
"04/23/2019","33","","IS 52","36-005-0110","AQS"
"04/24/2019","18","","IS 52","36-005-0110","AQS"
"04/25/2019","27","","IS 52","36-005-0110","AQS"
"04/26/2019","29","","IS 52","36-005-0110","AQS"
"04/27/2019","15","","IS 52","36-005-0110","AQS"
"04/28/2019","21","","IS 52","36-005-0110","AQS"
"04/29/2019","24","","IS 52","36-005-0110","AQS"
"04/30/2019","40","","IS 52","36-005-0110","AQS"
"05/01/2019","30","","IS 52","36-005-0110","AQS"
"05/02/2019","61","","IS 52","36-005-0110","AQS"
"05/03/2019","48","","IS 52","36-005-0110","AQS"
"05/04/2019","56","","IS 52","36-005-0110","AQS"
"05/05/2019","20","","IS 52","36-005-0110","AQS"
"05/06/2019","20","","IS 52","36-005-0110","AQS"
"05/07/2019","28","","IS 52","36-005-0110","AQS"
"05/08/2019","25","","IS 52","36-005-0110","AQS"
"05/09/2019","26","","IS 52","36-005-0110","AQS"
"05/10/2019","38","","IS 52","36-005-0110","AQS"
"05/11/2019","26","","IS 52","36-005-0110","AQS"
"05/12/2019","17","","IS 52","36-005-0110","AQS"
"05/13/2019","17","","IS 52","36-005-0110","AQS"
"05/14/2019","25","","IS 52","36-005-0110","AQS"
"05/15/2019","23","","IS 74","36-005-0112","AQS"
"05/16/2019","34","","IS 52","36-005-0110","AQS"
"05/17/2019","55","","IS 52","36-005-0110","AQS"
"05/18/2019","28","","IS 52","36-005-0110","AQS"
"05/19/2019","45","","IS 52","36-005-0110","AQS"
"05/20/2019","51","","IS 52","36-005-0110","AQS"
"05/21/2019","13","","IS 52","36-005-0110","AQS"
"05/22/2019","18","","IS 52","36-005-0110","AQS"
"05/23/2019","32","","IS 52","36-005-0110","AQS"
"05/24/2019","21","","IS 52","36-005-0110","AQS"
"05/25/2019","18","","IS 52","36-005-0110","AQS"
"05/26/2019","32","","IS 52","36-005-0110","AQS"
"05/27/2019","28","","IS 52","36-005-0110","AQS"
"05/28/2019","40","","IS 52","36-005-0110","AQS"
"05/29/2019","34","","IS 52","36-005-0110","AQS"
"05/30/2019","41","","IS 52","36-005-0110","AQS"
"05/31/2019","47","","IS 52","36-005-0110","AQS"
"06/01/2019","54","","IS 52","36-005-0110","AQS"
"06/02/2019","58","","IS 52","36-005-0110","AQS"
"06/03/2019","20","","IS 52","36-005-0110","AQS"
"06/04/2019","17","","IS 52","36-005-0110","AQS"
"06/05/2019","52","","IS 52","36-005-0110","AQS"
"06/06/2019","35","","IS 52","36-005-0110","AQS"
"06/07/2019","42","","IS 52","36-005-0110","AQS"
"06/08/2019","34","","IS 52","36-005-0110","AQS"
"06/09/2019","23","","IS 52","36-005-0110","AQS"
"06/10/2019","25","","IS 52","36-005-0110","AQS"
"06/11/2019","18","","IS 52","36-005-0110","AQS"
"06/12/2019","21","","IS 52","36-005-0110","AQS"
"06/13/2019","14","","IS 52","36-005-0110","AQS"
"06/14/2019","21","","IS 52","36-005-0110","AQS"
"06/15/2019","28","","IS 52","36-005-0110","AQS"
"06/16/2019","53","","IS 52","36-005-0110","AQS"
"06/17/2019","39","","IS 52","36-005-0110","AQS"
"06/18/2019","48","","IS 52","36-005-0110","AQS"
"06/19/2019","34","","IS 52","36-005-0110","AQS"
"06/20/2019","33","","IS 52","36-005-0110","AQS"
"06/21/2019","20","","IS 52","36-005-0110","AQS"
"06/22/2019","18","","IS 52","36-005-0110","AQS"
"06/23/2019","22","","IS 52","36-005-0110","AQS"
"06/24/2019","37","","IS 52","36-005-0110","AQS"
"06/25/2019","50","","IS 52","36-005-0110","AQS"
"06/26/2019","41","","IS 52","36-005-0110","AQS"
"06/27/2019","28","","IS 52","36-005-0110","AQS"
"06/28/2019","39","","IS 52","36-005-0110","AQS"
"06/29/2019","54","","IS 52","36-005-0110","AQS"
"06/30/2019","30","","IS 52","36-005-0110","AQS"
"07/01/2019","25","","IS 52","36-005-0110","AQS"
"07/02/2019","43","","IS 74","36-005-0112","AQS"
"07/03/2019","57","","IS 52","36-005-0110","AQS"
"07/04/2019","76","","MORRISANIA","36-005-0080","AQS"
"07/05/2019","54","","IS 52","36-005-0110","AQS"
"07/06/2019","50","","IS 52","36-005-0110","AQS"
"07/07/2019","53","","IS 52","36-005-0110","AQS"
"07/08/2019","50","","IS 52","36-005-0110","AQS"
"07/09/2019","47","","IS 52","36-005-0110","AQS"
"07/10/2019","59","","IS 52","36-005-0110","AQS"
"07/11/2019","45","","PFIZER LAB SITE","36-005-0133","AQS"
"07/12/2019","34","","IS 52","36-005-0110","AQS"
"07/13/2019","42","","IS 52","36-005-0110","AQS"
"07/14/2019","41","","IS 52","36-005-0110","AQS"
"07/15/2019","28","","IS 52","36-005-0110","AQS"
"07/16/2019","47","","IS 52","36-005-0110","AQS"
"07/17/2019","58","","IS 52","36-005-0110","AQS"
"07/18/2019","27","","IS 52","36-005-0110","AQS"
"07/19/2019","54","","IS 52","36-005-0110","AQS"
"07/20/2019","52","","IS 52","36-005-0110","AQS"
"07/21/2019","50","","IS 52","36-005-0110","AQS"
"07/22/2019","30","","IS 52","36-005-0110","AQS"
"07/23/2019","14","","IS 52","36-005-0110","AQS"
"07/24/2019","30","","IS 52","36-005-0110","AQS"
"07/25/2019","41","","IS 52","36-005-0110","AQS"
"07/26/2019","43","","IS 52","36-005-0110","AQS"
"07/27/2019","52","","IS 52","36-005-0110","AQS"
"07/28/2019","54","","IS 52","36-005-0110","AQS"
"07/29/2019","61","","IS 52","36-005-0110","AQS"
