date, pm25, o3, no2, co
2019/5/26, 41, 37, 45, 1
2019/5/27, 46, 148, 58, 
2019/5/28, 12, 27, 27, 
2019/5/29, 58, 20, , 
2019/5/30, 68, 82, 61, 1
2019/5/31, 47, 45, , 1
2019/6/1, 52, 43, , 
2019/6/2, 45, 48, , 
2019/6/3, 44, 265, 75, 
2019/6/4, 40, 35, , 
2019/6/5, 66, 110, 61, 
2019/6/6, 46, 41, , 
2019/6/7, 41, 40, , 1
2019/6/8, 29, 39, , 
2019/6/9, 46, 154, 50, 
2019/6/10, 12, 83, 50, 
2019/6/11, 91, 88, , 
2019/6/12, 55, 91, 27, 
2019/6/13, 20, 27, 78, 
2019/6/14, 69, 324, 53, 
2019/6/15, 23, 48, 48, 
2019/6/16, 32, 96, 35, 
2019/6/17, 51, 29, , 
2019/6/18, 23, 28, 30, 
2019/6/19, 60, 88, , 
2019/6/20, 21, 24, 55, 1
2019/6/21, 54, 144, 36, 
2019/6/22, 56, 21, , 
2019/6/23, 84, 28, 35, 
2019/6/24, 44, 45, , 
2019/6/25, 31, 37, , 
2019/6/26, 57, 105, , 
2019/6/27, 44, 104, , 
2019/6/28, 31, 58, , 
2019/6/29, 41, 46, , 
2019/6/30, 55, 207, , 
2019/7/1, 71, 148, , 
2019/1/2, 39, 21, , 
2019/1/3, 39, 19, , 
2019/1/4, 40, 12, , 
2019/1/5, 51, 22, , 
2019/1/6, 39, 27, , 
2019/1/7, 45, 27, , 
2019/1/8, 31, 17, , 
2019/1/9, 28, 22, , 
2019/1/10, 25, 25, , 
2019/1/11, 29, 31, , 
2019/1/12, 31, 26, , 
2019/1/13, 31, 29, , 
2019/1/14, 28, 26, , 
2019/1/15, 37, 23, , 
2019/1/16, 44, 22, , 
2019/1/17, 45, 28, , 
2019/1/18, 32, 20, , 
2019/1/19, 41, 25, , 
2019/1/20, 36, 27, , 
2019/1/21, 29, 30, , 
2019/1/22, 35, 29, , 
2019/1/23, 31, 10, , 
2019/1/24, 37, 27, , 
2019/1/25, 25, 29, , 
2019/1/26, 35, 28, , 
2019/1/27, 37, 29, , 
2019/1/28, 40, 30, , 
2019/1/29, 36, 24, , 
2019/1/30, 36, 30, , 
2019/1/31, 40, 27, , 
2019/2/1, 34, 27, , 
2019/2/2, 34, 24, , 
2019/2/3, 49, 18, , 
2019/2/4, 83, 14, , 
2019/2/5, 70, 18, , 
2019/2/6, 86, 200, 27, 
2019/2/7, 46, 49, 39, 1
2019/2/8, 33, 28, , 
2019/2/9, 44, 30, 22, 
2019/2/10, 77, 206, 23, 
2019/2/11, 48, 85, 18, 
2019/2/12, 51, 90, 27, 
2019/2/13, 43, 206, 35, 
2019/2/14, 38, 268, 25, 
2019/2/15, 24, 24, 36, 
2019/2/16, 30, 32, , 
2019/2/17, 49, 148, , 
2019/2/18, 32, 149, 30, 
2019/2/19, 60, 33, 28, 
2019/2/20, 31, 89, , 
2019/2/21, 59, 150, 27, 
2019/2/22, 67, 211, , 
2019/2/23, 36, 147, 33, 
2019/2/24, 42, 93, 22, 
2019/2/25, 68, 93, , 
2019/2/26, 55, 90, 21, 
2019/2/27, 77, 147, , 
