date, pm25, o3, no2, co
2019/7/22, 48, 44, 10, 2
2019/7/23, 28, 24, 7, 2
2019/7/24, 13, 40, 8, 2
2019/7/25, 21, 48, 13, 2
2019/7/26, 36, 54, 16, 3
2019/7/27, 36, 48, 11, 2
2019/7/28, 37, 58, 7, 2
2019/7/29, 48, 66, 17, 3
2019/7/30, 51, 63, 10, 3
2019/7/31, 60, 51, 11, 3
2019/8/1, 49, 52, 11, 2
2019/8/2, 37, 48, 13, 2
2019/8/3, 28, 42, 5, 2
2019/8/4, 23, 50, 7, 2
2019/8/5, 30, 40, 7, 2
2019/8/6, 25, 43, 8, 2
2019/8/7, 36, 38, 9, 2
2019/8/8, 36, 56, 10, 2
2019/8/9, 39, 37, 16, 3
2019/8/10, 29, 30, 7, 2
2019/8/11, 16, 28, 8, 2
2019/8/12, 16, 44, 15, 3
2019/8/13, 32, 38, 9, 3
2019/8/14, 46, 40, 13, 4
2019/8/15, 63, 38, 5, 2
2019/8/16, 43, 34, 8, 2
2019/8/17, 29, 35, 5, 2
2019/8/18, 23, 39, 7, 2
2019/8/19, 34, 43, 13, 2
2019/8/20, 35, 51, 16, 2
2019/8/21, 31, 44, 7, 2
2019/8/22, 45, 49, 10, 2
2019/8/23, 32, 25, 9, 2
2019/8/24, 22, 26, 4, 1
2019/8/25, 11, 23, 2, 1
2019/8/26, 12, 31, 3, 1
2019/8/27, 13, 28, 10, 2
2019/8/28, 19, 23, 10, 2
2019/8/29, 13, 36, 11, 2
2019/8/30, 19, 57, 17, 3
2019/8/31, 30, 40, 7, 2
2019/9/1, 24, 33, 3, 2
2019/9/2, 13, 27, 7, 2
2019/9/3, 18, 39, 10, 2
2019/9/4, 26, 35, 10, 2
2019/9/5, 36, 29, 6, 2
2019/9/6, 28, 24, 7, 2
2019/9/7, 15, 29, 6, 2
2019/9/8, 18, 33, 9, 2
2019/9/9, 22, 30, 6, 2
2019/9/10, 14, 24, 12, 2
2019/9/11, 19, 48, 10, 2
2019/9/12, 33, 33, 10, 2
2019/9/13, 35, 25, 4, 1
2019/9/14, 13, 27, 6, 2
2019/9/15, 17, 42, 10, 3
2019/9/16, 29, 30, 18, 3
2019/9/17, 36, 32, 6, 1
2019/9/18, 12, 25, 7, 2
2019/9/19, 12, 32, 12, 2
2019/9/20, 20, 45, 19, 3
2019/9/21, 32, 52, 22, 4
2019/9/22, 45, 48, 15, 3
2019/9/23, 50, 42, 8, 2
2019/9/24, 50, 27, 6, 1
2019/9/25, 14, 34, 14, 2
2019/9/26, 20, 36, 14, 2
2019/9/27, 32, 34, 12, 2
2019/9/28, 21, 37, 6, 2
2019/9/29, 20, 30, 7, 2
2019/9/30, 22, 25, 4, 1
2019/10/1, 13, 27, 8, 2
2019/4/2, 47, 442, 16, 2
2019/4/3, 83, 500, 10, 1
2019/4/4, 41, 500, 9, 1
2019/4/5, 51, 500, 14, 1
2019/4/6, 52, 385, 14, 3
2019/4/7, 77, 500, 13, 2
2019/4/8, 62, 211, 16, 3
2019/4/9, 70, 263, 9, 2
2019/4/10, 67, 500, 10, 2
2019/4/11, 85, 500, 8, 1
2019/4/12, 54, 500, 14, 1
2019/4/13, 81, 500, 17, 3
2019/4/14, 85, 381, 13, 3
2019/4/15, 68, 500, 7, 1
2019/4/16, 55, 500, 6, 1
2019/4/17, 20, 500, 9, 1
2019/4/18, 102, 500, 12, 1
2019/4/19, 54, 442, 7, 1
2019/4/20, 146, 500, 6, 1
2019/4/21, 72, 500, 7, 1
2019/4/22, 90, 381, 17, 2
2019/4/23, 149, 500, 16, 2
2019/4/24, 71, 500, 8, 2
2019/4/25, 39, 500, 15, 1
2019/4/26, 92, 500, 8, 2
2019/4/27, 114, 500, 5, 1
2019/4/28, 35, 500, 11, 1
2019/4/29, 136, 500, 9, 2
2019/4/30, 37, 500, 16, 2
2019/5/1, 84, 500, 7, 2
2019/5/2, 79, 441, 14, 3
2019/5/3, 96, 500, 9, 2
2019/5/4, 75, 320, 16, 4
2019/5/5, 155, 500, 4, 1
2019/5/6, 76, 500, 13, 1
2019/5/7, 58, 500, 9, 1
2019/5/8, 12, 500, 9, 1
2019/5/9, 68, 500, 15, 1
2019/5/10, 81, 500, 9, 2
2019/5/11, 113, 500, 7, 1
2019/5/12, 68, 500, 3, 1
2019/5/13, 49, 500, 8, 1
2019/5/14, 53, 500, 10, 1
2019/5/15, 97, 500, 9, 1
2019/5/16, 48, 272, 14, 2
2019/5/17, 110, 213, 24, 3
2019/5/18, 74, 500, 7, 1
2019/5/19, 24, 500, 9, 1
2019/5/20, 64, 43, 12, 2
2019/5/21, 42, 500, 5, 1
2019/5/22, 20, 500, 10, 1
2019/5/23, 27, 500, 27, 1
2019/5/24, 80, 500, 7, 1
2019/5/25, 56, 500, 12, 1
2019/5/26, 36, 500, 17, 2
2019/5/27, 65, 500, 5, 1
2019/5/28, 34, 441, 22, 2
2019/5/29, 133, 500, 13, 1
2019/5/30, 71, 500, 14, 2
2019/5/31, 90, 444, 15, 2
2019/6/1, 80, 157, 16, 3
2019/6/2, 66, 108, 9, 2
2019/6/3, 49, 500, 8, 1
2019/6/4, 11, 500, 8, 1
2019/6/5, 29, 500, 8, 2
2019/6/6, 70, 160, 8, 2
2019/6/7, 53, 386, 13, 2
2019/6/8, 96, 327, 14, 2
2019/6/9, 39, 500, 9, 1
2019/6/10, 38, 440, 8, 1
2019/6/11, 144, 500, 8, 1
2019/6/12, 43, 500, 8, 1
2019/6/13, 49, 500, 10, 1
2019/6/14, 30, 500, 6, 1
2019/6/15, 47, 500, 9, 1
2019/6/16, 48, 443, 7, 2
2019/6/17, 108, 324, 15, 2
2019/6/18, 120, 269, 11, 2
2019/6/19, 83, 441, 6, 2
2019/6/20, 52, 323, 14, 2
2019/6/21, 133, 500, 8, 1
2019/6/22, 94, 380, 5, 1
2019/6/23, 119, 500, 5, 1
2019/6/24, 80, 332, 13, 2
2019/6/25, 98, 156, 12, 2
2019/6/26, 85, 171, 18, 2
2019/6/27, 39, 228, 19, 2
2019/6/28, 92, 179, 13, 2
2019/6/29, 78, 178, 10, 2
2019/6/30, 52, 500, 4, 1
