"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"03/19/2015","17","","WHITE PLAINS","36-119-2004","AQS"
"03/20/2015","21","","WHITE PLAINS","36-119-2004","AQS"
"03/21/2015","38","","WHITE PLAINS","36-119-2004","AQS"
"03/22/2015","23","","WHITE PLAINS","36-119-2004","AQS"
"03/23/2015","25","","WHITE PLAINS","36-119-2004","AQS"
"03/24/2015","28","","WHITE PLAINS","36-119-2004","AQS"
"03/25/2015","33","","WHITE PLAINS","36-119-2004","AQS"
"03/26/2015","33","","WHITE PLAINS","36-119-2004","AQS"
"03/27/2015","19","","WHITE PLAINS","36-119-2004","AQS"
"03/28/2015","21","","WHITE PLAINS","36-119-2004","AQS"
"03/29/2015","18","","WHITE PLAINS","36-119-2004","AQS"
"03/30/2015","23","","WHITE PLAINS","36-119-2004","AQS"
"03/31/2015","14","","WHITE PLAINS","36-119-2004","AQS"
"04/01/2015","15","","WHITE PLAINS","36-119-2004","AQS"
"04/02/2015","29","","WHITE PLAINS","36-119-2004","AQS"
"04/03/2015","45","","WHITE PLAINS","36-119-2004","AQS"
"04/04/2015","20","","WHITE PLAINS","36-119-2004","AQS"
"04/05/2015","27","","WHITE PLAINS","36-119-2004","AQS"
"04/06/2015","37","","WHITE PLAINS","36-119-2004","AQS"
"04/07/2015","38","","WHITE PLAINS","36-119-2004","AQS"
"04/08/2015","23","","WHITE PLAINS","36-119-2004","AQS"
"04/09/2015","9","","WHITE PLAINS","36-119-2004","AQS"
"04/10/2015","21","","WHITE PLAINS","36-119-2004","AQS"
"04/11/2015","21","","WHITE PLAINS","36-119-2004","AQS"
"04/12/2015","26","","WHITE PLAINS","36-119-2004","AQS"
"04/13/2015","35","","WHITE PLAINS","36-119-2004","AQS"
"04/14/2015","15","","WHITE PLAINS","36-119-2004","AQS"
"04/15/2015","14","","WHITE PLAINS","36-119-2004","AQS"
"04/16/2015","15","","WHITE PLAINS","36-119-2004","AQS"
"04/17/2015","25","","WHITE PLAINS","36-119-2004","AQS"
"04/18/2015","32","","WHITE PLAINS","36-119-2004","AQS"
"04/19/2015","13","","WHITE PLAINS","36-119-2004","AQS"
"04/20/2015","3","","WHITE PLAINS","36-119-2004","AQS"
"04/21/2015","16","","WHITE PLAINS","36-119-2004","AQS"
"04/22/2015","15","","WHITE PLAINS","36-119-2004","AQS"
"04/23/2015","5","","WHITE PLAINS","36-119-2004","AQS"
"04/24/2015","7","","WHITE PLAINS","36-119-2004","AQS"
"04/25/2015","7","","WHITE PLAINS","36-119-2004","AQS"
"04/26/2015","6","","WHITE PLAINS","36-119-2004","AQS"
"04/27/2015","6","","WHITE PLAINS","36-119-2004","AQS"
"04/28/2015","6","","WHITE PLAINS","36-119-2004","AQS"
"04/29/2015","13","","WHITE PLAINS","36-119-2004","AQS"
"04/30/2015","9","","WHITE PLAINS","36-119-2004","AQS"
"05/01/2015","5","","WHITE PLAINS","36-119-2004","AQS"
"05/02/2015","20","","WHITE PLAINS","36-119-2004","AQS"
"05/03/2015","32","","WHITE PLAINS","36-119-2004","AQS"
"05/04/2015","54","","WHITE PLAINS","36-119-2004","AQS"
"05/05/2015","60","","WHITE PLAINS","36-119-2004","AQS"
"05/06/2015","23","","WHITE PLAINS","36-119-2004","AQS"
"05/07/2015","36","","WHITE PLAINS","36-119-2004","AQS"
"05/08/2015","55","","WHITE PLAINS","36-119-2004","AQS"
"05/09/2015","32","","WHITE PLAINS","36-119-2004","AQS"
"05/10/2015","39","","WHITE PLAINS","36-119-2004","AQS"
"05/11/2015","61","","WHITE PLAINS","36-119-2004","AQS"
"05/12/2015","51","","WHITE PLAINS","36-119-2004","AQS"
"05/13/2015","5","","WHITE PLAINS","36-119-2004","AQS"
"05/14/2015","16","","WHITE PLAINS","36-119-2004","AQS"
"05/15/2015","33","","WHITE PLAINS","36-119-2004","AQS"
"05/16/2015","45","","WHITE PLAINS","36-119-2004","AQS"
"05/17/2015","45","","WHITE PLAINS","36-119-2004","AQS"
"05/18/2015","36","","WHITE PLAINS","36-119-2004","AQS"
"05/19/2015","31","","WHITE PLAINS","36-119-2004","AQS"
"05/20/2015","14","","WHITE PLAINS","36-119-2004","AQS"
"05/21/2015","13","","WHITE PLAINS","36-119-2004","AQS"
"05/22/2015","22","","WHITE PLAINS","36-119-2004","AQS"
"05/23/2015","15","","WHITE PLAINS","36-119-2004","AQS"
"05/24/2015","39","","WHITE PLAINS","36-119-2004","AQS"
"05/25/2015","55","","WHITE PLAINS","36-119-2004","AQS"
"05/26/2015","44","","WHITE PLAINS","36-119-2004","AQS"
"05/27/2015","44","","WHITE PLAINS","36-119-2004","AQS"
"05/28/2015","40","","WHITE PLAINS","36-119-2004","AQS"
"05/29/2015","15","","WHITE PLAINS","36-119-2004","AQS"
"05/30/2015","28","","WHITE PLAINS","36-119-2004","AQS"
"05/31/2015","25","","WHITE PLAINS","36-119-2004","AQS"
"06/01/2015","2","","WHITE PLAINS","36-119-2004","AQS"
"06/02/2015","0","","WHITE PLAINS","36-119-2004","AQS"
"06/06/2015","15","","WHITE PLAINS","36-119-2004","AQS"
"06/07/2015","12","","WHITE PLAINS","36-119-2004","AQS"
"06/08/2015","21","","WHITE PLAINS","36-119-2004","AQS"
"06/09/2015","28","","WHITE PLAINS","36-119-2004","AQS"
"06/10/2015","29","","WHITE PLAINS","36-119-2004","AQS"
"06/11/2015","89","","WHITE PLAINS","36-119-2004","AQS"
"06/12/2015","56","","WHITE PLAINS","36-119-2004","AQS"
"06/13/2015","17","","WHITE PLAINS","36-119-2004","AQS"
"06/14/2015","30","","WHITE PLAINS","36-119-2004","AQS"
"06/15/2015","18","","WHITE PLAINS","36-119-2004","AQS"
"06/16/2015","18","","WHITE PLAINS","36-119-2004","AQS"
"06/17/2015","18","","WHITE PLAINS","36-119-2004","AQS"
"06/18/2015","12","","WHITE PLAINS","36-119-2004","AQS"
"06/19/2015","27","","WHITE PLAINS","36-119-2004","AQS"
"06/20/2015","8","","WHITE PLAINS","36-119-2004","AQS"
"06/21/2015","13","","WHITE PLAINS","36-119-2004","AQS"
"06/22/2015","31","","WHITE PLAINS","36-119-2004","AQS"
"06/23/2015","56","","WHITE PLAINS","36-119-2004","AQS"
"06/24/2015","13","","WHITE PLAINS","36-119-2004","AQS"
"06/25/2015","23","","WHITE PLAINS","36-119-2004","AQS"
"06/26/2015","30","","WHITE PLAINS","36-119-2004","AQS"
"06/27/2015","7","","WHITE PLAINS","36-119-2004","AQS"
"06/28/2015","3","","WHITE PLAINS","36-119-2004","AQS"
"06/29/2015","0","","WHITE PLAINS","36-119-2004","AQS"
"06/30/2015","20","","WHITE PLAINS","36-119-2004","AQS"
"07/01/2015","57","","WHITE PLAINS","36-119-2004","AQS"
"07/02/2015","34","","WHITE PLAINS","36-119-2004","AQS"
"07/03/2015","19","","WHITE PLAINS","36-119-2004","AQS"
"07/04/2015","48","","WHITE PLAINS","36-119-2004","AQS"
"07/05/2015","55","","WHITE PLAINS","36-119-2004","AQS"
"07/06/2015","42","","WHITE PLAINS","36-119-2004","AQS"
"07/07/2015","47","","WHITE PLAINS","36-119-2004","AQS"
"07/08/2015","59","","WHITE PLAINS","36-119-2004","AQS"
"07/09/2015","45","","WHITE PLAINS","36-119-2004","AQS"
"07/10/2015","31","","WHITE PLAINS","36-119-2004","AQS"
"07/11/2015","41","","WHITE PLAINS","36-119-2004","AQS"
"07/12/2015","52","","WHITE PLAINS","36-119-2004","AQS"
"07/13/2015","48","","WHITE PLAINS","36-119-2004","AQS"
"07/14/2015","26","","WHITE PLAINS","36-119-2004","AQS"
"07/15/2015","18","","WHITE PLAINS","36-119-2004","AQS"
"07/16/2015","14","","WHITE PLAINS","36-119-2004","AQS"
"07/17/2015","24","","WHITE PLAINS","36-119-2004","AQS"
"07/18/2015","28","","WHITE PLAINS","36-119-2004","AQS"
"07/19/2015","56","","WHITE PLAINS","36-119-2004","AQS"
"07/20/2015","41","","WHITE PLAINS","36-119-2004","AQS"
"07/21/2015","38","","WHITE PLAINS","36-119-2004","AQS"
"07/22/2015","10","","WHITE PLAINS","36-119-2004","AQS"
"07/23/2015","12","","WHITE PLAINS","36-119-2004","AQS"
"07/24/2015","17","","WHITE PLAINS","36-119-2004","AQS"
"07/25/2015","28","","WHITE PLAINS","36-119-2004","AQS"
"07/26/2015","36","","WHITE PLAINS","36-119-2004","AQS"
"07/27/2015","36","","WHITE PLAINS","36-119-2004","AQS"
"07/28/2015","42","","WHITE PLAINS","36-119-2004","AQS"
"07/29/2015","58","","WHITE PLAINS","36-119-2004","AQS"
"07/30/2015","48","","WHITE PLAINS","36-119-2004","AQS"
"07/31/2015","20","","WHITE PLAINS","36-119-2004","AQS"
"08/01/2015","37","","WHITE PLAINS","36-119-2004","AQS"
"08/02/2015","35","","WHITE PLAINS","36-119-2004","AQS"
"08/03/2015","52","","WHITE PLAINS","36-119-2004","AQS"
"08/04/2015","36","","WHITE PLAINS","36-119-2004","AQS"
"08/05/2015","21","","WHITE PLAINS","36-119-2004","AQS"
"08/06/2015","7","","WHITE PLAINS","36-119-2004","AQS"
"08/07/2015","12","","WHITE PLAINS","36-119-2004","AQS"
"08/08/2015","16","","WHITE PLAINS","36-119-2004","AQS"
"08/09/2015","15","","WHITE PLAINS","36-119-2004","AQS"
"08/10/2015","12","","WHITE PLAINS","36-119-2004","AQS"
"08/11/2015","14","","WHITE PLAINS","36-119-2004","AQS"
"08/12/2015","17","","WHITE PLAINS","36-119-2004","AQS"
"08/13/2015","8","","WHITE PLAINS","36-119-2004","AQS"
"08/14/2015","20","","WHITE PLAINS","36-119-2004","AQS"
"08/15/2015","51","","WHITE PLAINS","36-119-2004","AQS"
"08/16/2015","45","","WHITE PLAINS","36-119-2004","AQS"
"08/17/2015","58","","WHITE PLAINS","36-119-2004","AQS"
"08/18/2015","47","","WHITE PLAINS","36-119-2004","AQS"
"08/19/2015","16","","WHITE PLAINS","36-119-2004","AQS"
"08/20/2015","9","","WHITE PLAINS","36-119-2004","AQS"
"08/21/2015","23","","WHITE PLAINS","36-119-2004","AQS"
"08/22/2015","13","","WHITE PLAINS","36-119-2004","AQS"
"08/23/2015","36","","WHITE PLAINS","36-119-2004","AQS"
"08/24/2015","40","","WHITE PLAINS","36-119-2004","AQS"
"08/25/2015","50","","WHITE PLAINS","36-119-2004","AQS"
"08/26/2015","19","","WHITE PLAINS","36-119-2004","AQS"
"08/27/2015","15","","WHITE PLAINS","36-119-2004","AQS"
"08/28/2015","10","","WHITE PLAINS","36-119-2004","AQS"
"08/29/2015","31","","WHITE PLAINS","36-119-2004","AQS"
"08/30/2015","54","","WHITE PLAINS","36-119-2004","AQS"
"08/31/2015","60","","WHITE PLAINS","36-119-2004","AQS"
"09/01/2015","65","","WHITE PLAINS","36-119-2004","AQS"
"09/02/2015","68","","WHITE PLAINS","36-119-2004","AQS"
"09/03/2015","81","","WHITE PLAINS","36-119-2004","AQS"
"09/04/2015","61","","WHITE PLAINS","36-119-2004","AQS"
"09/05/2015","15","","WHITE PLAINS","36-119-2004","AQS"
"09/06/2015","20","","WHITE PLAINS","36-119-2004","AQS"
"09/07/2015","34","","WHITE PLAINS","36-119-2004","AQS"
"09/08/2015","53","","WHITE PLAINS","36-119-2004","AQS"
"09/09/2015","24","","WHITE PLAINS","36-119-2004","AQS"
"09/10/2015","17","","WHITE PLAINS","36-119-2004","AQS"
"09/11/2015","11","","WHITE PLAINS","36-119-2004","AQS"
"09/12/2015","15","","WHITE PLAINS","36-119-2004","AQS"
"09/13/2015","15","","WHITE PLAINS","36-119-2004","AQS"
"09/14/2015","19","","WHITE PLAINS","36-119-2004","AQS"
"09/15/2015","27","","WHITE PLAINS","36-119-2004","AQS"
"09/16/2015","38","","WHITE PLAINS","36-119-2004","AQS"
"09/17/2015","53","","WHITE PLAINS","36-119-2004","AQS"
"09/18/2015","43","","WHITE PLAINS","36-119-2004","AQS"
"09/19/2015","30","","WHITE PLAINS","36-119-2004","AQS"
"09/20/2015","5","","WHITE PLAINS","36-119-2004","AQS"
"09/21/2015","6","","WHITE PLAINS","36-119-2004","AQS"
"09/22/2015","9","","WHITE PLAINS","36-119-2004","AQS"
"09/23/2015","12","","WHITE PLAINS","36-119-2004","AQS"
"09/24/2015","21","","WHITE PLAINS","36-119-2004","AQS"
"09/25/2015","14","","WHITE PLAINS","36-119-2004","AQS"
"09/26/2015","14","","WHITE PLAINS","36-119-2004","AQS"
"09/27/2015","11","","WHITE PLAINS","36-119-2004","AQS"
