Week,Date,Orange,Manhattan,Westchester,Average
28,7/5/2018 - 7/11/2018,23.33333333,32.85714286,21.71428571,25.96825397
29,7/12/2018 - 7/18/2018,31.57142857,45.85714286,27,34.80952381
30,7/19/2018 - 7/25/2018,9.142857143,29.85714286,11.28571429,16.76190476
31,7/26/2018 - 8/1/2018,22.16666667,36.71428571,22.85714286,27.24603175
32,8/2/2018 - 8/8/2018,37.57142857,48.57142857,28,38.04761905
33,8/9/2018 - 8/15/2018,27.85714286,44.42857143,24.16666667,32.15079365
34,8/16/2018 - 8/22/2018,31.57142857,42.57142857,22.85714286,32.33333333
35,8/23/2018 - 8/29/2018,50.85714286,55.28571429,23.25,43.13095238
36,8/30/2018 - 9/5/2018,24.28571429,37.57142857,11.57142857,24.47619048
37,9/6/2018 - 9/12/2018,11,39,6.142857143,18.71428571
38,9/13/2018 - 9/19/2018,15.57142857,28.42857143,8.428571429,17.47619048
39,9/20/2018 - 9/26/2018,11.71428571,21.57142857,6.714285714,13.33333333
40,9/27/2018 - 10/3/2018,14,29.57142857,14.42857143,19.33333333
41,10/4/2018 - 10/10/2018,17.85714286,36.85714286,17,23.90476191
42,10/11/2018 - 10/17/2018,15.71428571,24.85714286,10.71428571,17.09523809
43,10/18/2018 - 10/24/2018,13.85714286,23.57142857,13.85714286,17.0952381
44,10/25/2018 - 10/31/2018,13.28571429,25.28571429,13.71428571,17.42857143
45,11/1/2018 - 11/7/2018,17.71428571,35.42857143,22.33333333,25.15873016
46,11/8/2018 - 11/14/2018,23.71428571,32.57142857,17.85714286,24.71428571
47,11/15/2018 - 11/21/2018,22,40.14285714,23.14285714,28.42857143
48,11/22/2018 - 11/28/2018,20.42857143,31,18.42857143,23.28571429
49,11/29/2018 - 12/5/2018,23.14285714,40.14285714,20.66666667,27.98412698
50,12/6/2018 - 12/12/2018,37.14285714,45.57142857,31.85714286,38.19047619
51,12/13/2018 - 12/19/2018,34.71428571,48.42857143,27,36.71428571
52,12/20/2018 - 12/26/2018,34,42.71428571,31.85714286,36.19047619
1,12/27/2018 - 1/2/2019,33.71428571,47.42857143,31.71428571,37.61904762
2,1/3/2019 - 1/9/2019,37.57142857,49,36.33333333,40.96825397
3,1/10/2019 - 1/16/2019,37.85714286,45.85714286,32.57142857,38.76190476
4,1/17/2019 - 1/23/2019,33.85714286,49.57142857,31.14285714,38.19047619
5,1/24/2019 - 1/30/2019,36,45.71428571,33,38.23809524
6,1/31/2019 - 2/6/2019,48.42857143,57.28571429,41.42857143,49.04761905
7,2/7/2019 - 2/13/2019,21.14285714,40.42857143,20.14285714,27.23809524
8,2/14/2019 - 2/20/2019,29.14285714,43,24.14285714,32.09523809
9,2/21/2019 - 2/27/2019,25,36.14285714,22.57142857,27.9047619
10,2/28/2019 - 3/6/2019,30.28571429,43,25.71428571,33
11,3/7/2019 - 3/13/2019,32.85714286,46.42857143,28.42857143,35.90476191
12,3/14/2019 - 3/20/2019,24.85714286,32.42857143,21,26.0952381
13,3/21/2019 - 3/27/2019,15.57142857,30.42857143,14.42857143,20.14285714
14,3/28/2019 - 4/3/2019,29.28571429,37.71428571,24.16666667,30.38888889
15,4/4/2019 - 4/10/2019,21.71428571,34.71428571,16.85714286,24.42857143
16,4/11/2019 - 4/17/2019,12.85714286,23.85714286,14.57142857,17.0952381
17,4/18/2019 - 4/24/2019,22.14285714,31.28571429,17.57142857,23.66666667
18,4/25/2019 - 5/1/2019,13,23,10.28571429,15.42857143
19,5/2/2019 - 5/8/2019,12.85714286,35.57142857,9.333333333,19.25396825
20,5/9/2019 - 5/15/2019,9.571428571,20.57142857,5.428571429,11.85714286
21,5/16/2019 - 5/22/2019,22.5,31.28571429,18.85714286,24.21428572
22,5/23/2019 - 5/29/2019,16.57142857,25.28571429,11.71428571,17.85714286
23,5/30/2019 - 6/5/2019,31.42857143,41.14285714,24.83333333,32.46825397
24,6/6/2019 - 6/12/2019,17.85714286,22,9.285714286,16.38095238
25,6/13/2019 - 6/19/2019,16.57142857,31.42857143,12.85714286,20.28571429
26,6/20/2019 - 6/26/2019,17.28571429,33.14285714,14.28571429,21.57142857
27,6/27/2019 - 7/3/2019,25.42857143,36.42857143,25.14285714,29
28,7/4/2019 - 7/10/2019,38.85714286,50.42857143,36.14285714,41.80952381
29,7/11/2019 - 7/17/2019,34.28571429,38.28571429,18.85714286,30.47619048
30,7/18/2019 - 7/24/2019,22.28571429,36,15.14285714,24.47619048
31,7/25/2019 - 7/31/2019,37.28571429,51.14285714,34.14285714,40.85714286
32,8/1/2019 - 8/7/2019,40.2,35.42857143,18.16666667,31.26507937
33,8/8/2019 - 8/14/2019,21.83333333,36.57142857,19.14285714,25.84920635
34,8/15/2019 - 8/21/2019,23.57142857,35.57142857,19.57142857,26.23809524
35,8/22/2019 - 8/28/2019,15.57142857,21.28571429,6.428571429,14.42857143
36,8/29/2019 - 9/4/2019,19.85714286,26,15,20.28571429
37,9/5/2019 - 9/11/2019,15.71428571,24.85714286,10.42857143,17
38,9/12/2019 - 9/18/2019,13.28571429,24.42857143,10.14285714,15.95238095
39,9/19/2019 - 9/25/2019,27.42857143,36.14285714,22.42857143,28.66666667
