"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"10/14/2017","29","","Queens College Near Road","36-081-0125","AQS"
"10/15/2017","28","","QUEENS COLLEGE 2","36-081-0124","AQS"
"10/16/2017","16","","Queens College Near Road","36-081-0125","AQS"
"10/17/2017","23","","QUEENS COLLEGE 2","36-081-0124","AQS"
"10/18/2017","39","","Queens College Near Road","36-081-0125","AQS"
"10/19/2017","36","","QUEENS COLLEGE 2","36-081-0124","AQS"
"10/20/2017","35","","Queens College Near Road","36-081-0125","AQS"
"10/21/2017","34","","MASPETH LIBRARY","36-081-0120","AQS"
"10/22/2017","42","","Queens College Near Road","36-081-0125","AQS"
"10/23/2017","21","","QUEENS COLLEGE 2","36-081-0124","AQS"
"10/24/2017","38","","QUEENS COLLEGE 2","36-081-0124","AQS"
"10/25/2017","34","","Queens College Near Road","36-081-0125","AQS"
"10/26/2017","24","","Queens College Near Road","36-081-0125","AQS"
"10/27/2017","30","","MASPETH LIBRARY","36-081-0120","AQS"
"10/28/2017","30","","Queens College Near Road","36-081-0125","AQS"
"10/29/2017","15","","QUEENS COLLEGE 2","36-081-0124","AQS"
"10/30/2017","19","","Queens College Near Road","36-081-0125","AQS"
"10/31/2017","26","","MASPETH LIBRARY","36-081-0120","AQS"
"11/01/2017","41","","Queens College Near Road","36-081-0125","AQS"
"11/02/2017","31","","Queens College Near Road","36-081-0125","AQS"
"11/03/2017","32","","MASPETH LIBRARY","36-081-0120","AQS"
"11/04/2017","21","","Queens College Near Road","36-081-0125","AQS"
"11/05/2017","23","","Queens College Near Road","36-081-0125","AQS"
"11/06/2017","27","","MASPETH LIBRARY","36-081-0120","AQS"
"11/07/2017","20","","Queens College Near Road","36-081-0125","AQS"
"11/08/2017","26","","Queens College Near Road","36-081-0125","AQS"
"11/09/2017","28","","Queens College Near Road","36-081-0125","AQS"
"11/10/2017","20","","MASPETH LIBRARY","36-081-0120","AQS"
"11/11/2017","23","","Queens College Near Road","36-081-0125","AQS"
"11/12/2017","48","","Queens College Near Road","36-081-0125","AQS"
"11/13/2017","55","","QUEENS COLLEGE 2","36-081-0124","AQS"
"11/14/2017","34","","Queens College Near Road","36-081-0125","AQS"
"11/15/2017","28","","Queens College Near Road","36-081-0125","AQS"
"11/16/2017","19","","MASPETH LIBRARY","36-081-0120","AQS"
"11/17/2017","21","","Queens College Near Road","36-081-0125","AQS"
"11/18/2017","32","","Queens College Near Road","36-081-0125","AQS"
"11/19/2017","25","","MASPETH LIBRARY","36-081-0120","AQS"
"11/20/2017","27","","Queens College Near Road","36-081-0125","AQS"
"11/21/2017","35","","Queens College Near Road","36-081-0125","AQS"
"11/22/2017","37","","MASPETH LIBRARY","36-081-0120","AQS"
"11/23/2017","23","","Queens College Near Road","36-081-0125","AQS"
"11/24/2017","39","","Queens College Near Road","36-081-0125","AQS"
"11/25/2017","41","","QUEENS COLLEGE 2","36-081-0124","AQS"
"11/26/2017","28","","MASPETH LIBRARY","36-081-0120","AQS"
"11/27/2017","38","","Queens College Near Road","36-081-0125","AQS"
"11/28/2017","29","","Queens College Near Road","36-081-0125","AQS"
"11/29/2017","34","","MASPETH LIBRARY","36-081-0120","AQS"
"11/30/2017","28","","Queens College Near Road","36-081-0125","AQS"
"12/01/2017","39","","Queens College Near Road","36-081-0125","AQS"
"12/02/2017","39","","Queens College Near Road","36-081-0125","AQS"
"12/03/2017","52","","Queens College Near Road","36-081-0125","AQS"
"12/04/2017","67","","QUEENS COLLEGE 2","36-081-0124","AQS"
"12/05/2017","30","","QUEENS COLLEGE 2","36-081-0124","AQS"
"12/06/2017","25","","MASPETH LIBRARY","36-081-0120","AQS"
"12/07/2017","33","","MASPETH LIBRARY","36-081-0120","AQS"
"12/08/2017","38","","QUEENS COLLEGE 2","36-081-0124","AQS"
"12/09/2017","40","","Queens College Near Road","36-081-0125","AQS"
"12/10/2017","46","","QUEENS COLLEGE 2","36-081-0124","AQS"
"12/11/2017","43","","QUEENS COLLEGE 2","36-081-0124","AQS"
"12/12/2017","35","","Queens College Near Road","36-081-0125","AQS"
"12/13/2017","22","","MASPETH LIBRARY","36-081-0120","AQS"
"12/14/2017","42","","Queens College Near Road","36-081-0125","AQS"
