Week,Date,Essex,Average
9,2/22/2018 - 2/28/2018,11.71428571,11.71428571
10,3/1/2018 - 3/7/2018,6.285714286,6.285714286
11,3/8/2018 - 3/14/2018,12.57142857,12.57142857
12,3/15/2018 - 3/21/2018,13.14285714,13.14285714
13,3/22/2018 - 3/28/2018,8.142857143,8.142857143
14,3/29/2018 - 4/4/2018,15,15
15,4/5/2018 - 4/11/2018,11.71428571,11.71428571
16,4/12/2018 - 4/18/2018,11.28571429,11.28571429
17,4/19/2018 - 4/25/2018,15.28571429,15.28571429
18,4/26/2018 - 5/2/2018,18.4,18.4
19,5/3/2018 - 5/9/2018,16.28571429,16.28571429
20,5/10/2018 - 5/16/2018,15,15
21,5/17/2018 - 5/23/2018,24.85714286,24.85714286
22,5/24/2018 - 5/30/2018,11.66666667,11.66666667
23,5/31/2018 - 6/6/2018,13.16666667,13.16666667
24,6/7/2018 - 6/13/2018,16.14285714,16.14285714
25,6/14/2018 - 6/20/2018,11.57142857,11.57142857
26,6/21/2018 - 6/27/2018,25.5,25.5
27,6/28/2018 - 7/4/2018,15.14285714,15.14285714
28,7/5/2018 - 7/11/2018,26.42857143,26.42857143
29,7/12/2018 - 7/18/2018,12.71428571,12.71428571
30,7/19/2018 - 7/25/2018,19,19
31,7/26/2018 - 8/1/2018,30.14285714,30.14285714
32,8/2/2018 - 8/8/2018,14.85714286,14.85714286
33,8/9/2018 - 8/15/2018,21.42857143,21.42857143
34,8/16/2018 - 8/22/2018,37.14285714,37.14285714
35,8/23/2018 - 8/29/2018,18.71428571,18.71428571
36,8/30/2018 - 9/5/2018,7.714285714,7.714285714
37,9/6/2018 - 9/12/2018,11.71428571,11.71428571
38,9/13/2018 - 9/19/2018,8.571428571,8.571428571
39,9/20/2018 - 9/26/2018,3.857142857,3.857142857
40,9/27/2018 - 10/3/2018,15.28571429,15.28571429
41,10/4/2018 - 10/10/2018,7.428571429,7.428571429
42,10/11/2018 - 10/17/2018,9.428571429,9.428571429
43,10/18/2018 - 10/24/2018,4.142857143,4.142857143
44,10/25/2018 - 10/31/2018,4.142857143,4.142857143
45,11/1/2018 - 11/7/2018,7.857142857,7.857142857
46,11/8/2018 - 11/14/2018,6.25,6.25
47,11/15/2018 - 11/21/2018,6,6
48,11/22/2018 - 11/28/2018,5.571428571,5.571428571
49,11/29/2018 - 12/5/2018,14.57142857,14.57142857
50,12/6/2018 - 12/12/2018,13.28571429,13.28571429
51,12/13/2018 - 12/19/2018,8.142857143,8.142857143
52,12/20/2018 - 12/26/2018,9.5,9.5
1,12/27/2018 - 1/2/2019,12.57142857,12.57142857
2,1/3/2019 - 1/9/2019,13.28571429,13.28571429
3,1/10/2019 - 1/16/2019,12.71428571,12.71428571
4,1/17/2019 - 1/23/2019,12.85714286,12.85714286
5,1/24/2019 - 1/30/2019,16.42857143,16.42857143
6,1/31/2019 - 2/6/2019,7.857142857,7.857142857
7,2/7/2019 - 2/13/2019,12.85714286,12.85714286
8,2/14/2019 - 2/20/2019,10.85714286,10.85714286
9,2/21/2019 - 2/27/2019,13.85714286,13.85714286
10,2/28/2019 - 3/6/2019,13.42857143,13.42857143
11,3/7/2019 - 3/13/2019,12.28571429,12.28571429
12,3/14/2019 - 3/20/2019,10.28571429,10.28571429
13,3/21/2019 - 3/27/2019,13.57142857,13.57142857
14,3/28/2019 - 4/3/2019,10,10
15,4/4/2019 - 4/10/2019,8.285714286,8.285714286
16,4/11/2019 - 4/17/2019,12.6,12.6
17,4/18/2019 - 4/24/2019,4,4
18,4/25/2019 - 5/1/2019,6.714285714,6.714285714
19,5/2/2019 - 5/8/2019,6.142857143,6.142857143
20,5/9/2019 - 5/15/2019,11.42857143,11.42857143
21,5/16/2019 - 5/22/2019,10.28571429,10.28571429
