date, pm25, o3, no2, co
2016/8/18, 7, , , 
2016/8/19, 29, , , 
2016/8/20, 25, , , 
2016/8/21, 19, , , 
2016/8/22, 13, , , 
2016/8/23, 6, , , 
2016/8/24, 15, , , 
2016/8/25, 31, , , 
2016/8/26, 25, , , 
2016/8/27, 32, , , 
2016/8/28, 23, , , 
2016/8/29, 16, , , 
2016/8/30, 21, , , 
2016/8/31, 12, , , 
2016/9/1, 29, , , 
2016/9/2, 40, , , 
2016/9/3, 10, , , 
2016/9/4, 15, , , 
2016/9/5, 10, , , 
2016/9/6, 12, , , 
2016/9/7, 12, , , 
2016/9/8, 23, , , 
2016/9/9, 43, , , 
2016/9/10, 47, , , 
2016/9/11, 52, , , 
2016/9/12, 22, , , 
2016/9/13, 8, , , 
2016/9/14, 13, , , 
2016/9/15, 30, , , 
2016/9/16, 10, , , 
2016/9/17, 6, , , 
2016/9/18, 7, , , 
2016/9/19, 20, , , 
2016/9/20, 16, , , 
2016/9/21, 26, , , 
2016/9/22, 33, , , 
2016/9/23, 26, , , 
2016/9/24, 31, , , 
2016/9/25, 14, , , 
2016/9/26, 9, , , 
2016/9/27, 8, , , 
2016/9/28, 22, , , 
2016/9/29, 28, , , 
2016/9/30, 10, , , 
2016/10/1, 7, , , 
2016/4/2, 23, , , 
2016/4/3, 16, , , 
2016/4/4, 15, , , 
2016/4/5, 33, , , 
2016/4/6, 16, , , 
2016/4/7, 15, , , 
2016/4/8, 14, , , 
2016/4/9, 15, , , 
2016/4/10, 20, , , 
2016/4/11, 16, , , 
2016/4/12, 27, , , 
2016/4/13, 25, , , 
2016/4/14, 16, , , 
2016/4/15, 23, , , 
2016/4/16, 25, , , 
2016/4/17, 21, , , 
2016/4/18, 27, , , 
2016/4/19, 34, , , 
2016/4/20, 27, , , 
2016/4/21, 15, , , 
2016/4/22, 24, , , 
2016/4/23, 53, , , 
2016/4/24, 23, , , 
2016/4/25, 17, , , 
2016/4/26, 37, , , 
2016/4/27, 37, , , 
2016/4/28, 10, , , 
2016/4/29, 15, , , 
2016/4/30, 14, , , 
2016/5/1, 16, , , 
2016/5/2, 9, , , 
2016/5/3, 19, , , 
2016/5/4, 9, , , 
2016/5/5, 9, , , 
2016/5/6, 7, , , 
2016/5/7, 14, , , 
2016/5/8, 13, , , 
2016/5/9, 11, , , 
2016/5/10, 34, , , 
2016/5/11, 15, , , 
2016/5/12, 33, , , 
2016/5/13, 44, , , 
2016/5/14, 41, , , 
2016/5/15, 20, , , 
2016/5/16, 5, , , 
2016/5/17, 8, , , 
2016/5/18, 20, , , 
2016/5/19, 18, , , 
2016/5/20, 27, , , 
2016/5/21, 22, , , 
2016/5/22, 15, , , 
2016/5/23, 14, , , 
2016/5/24, 23, , , 
2016/5/25, 34, , , 
2016/5/26, 54, , , 
2016/5/27, 61, , , 
2016/5/28, 58, , , 
2016/5/29, 48, , , 
2016/5/30, 17, , , 
2016/5/31, 14, , , 
2016/6/1, 15, , , 
2016/6/2, 27, , , 
2016/6/3, 19, , , 
2016/6/4, 14, , , 
2016/6/5, 32, , , 
2016/6/6, 11, , , 
2016/6/7, 19, , , 
2016/6/8, 26, , , 
2016/6/9, 11, , , 
2016/6/10, 9, , , 
2016/6/11, 14, , , 
2016/6/12, 45, , , 
2016/6/13, 27, , , 
2016/6/14, 45, , , 
2016/6/15, 22, , , 
2016/6/16, 37, , , 
2016/6/17, 35, , , 
2016/6/18, 31, , , 
