DateNoYear,Date20,PM2.5 AQI Value 20,NO2 AQI Value 20,Date19,PM2.5 AQI Value 19,NO2 AQI Value 19,Date18,PM2.5 AQI Value 18,NO2 AQI Value 18,Date17,PM2.5 AQI Value 17,NO2 AQI Value 17,Date16,PM2.5 AQI Value 16,NO2 AQI Value 16,Avg PM2.5,confidence 90 PM2.5,confidence 95 PM2.5,confidence 99 PM2.5,Avg NO2,confidence 90 NO2,confidence 95 NO2,confidence 90 NO2
2/6/1900,2/6/2020,20,12,2/6/2019,28,25,2/6/2018,45,29,2/6/2017,34,20,2/6/2016,41,16,37,6.19100414,7.377036439,9.695069289,22.5,4.676516822,5.572413493,7.323392715
2/7/1900,2/7/2020,22,8,2/7/2019,28,17,2/7/2018,49,20,2/7/2017,39,22,2/7/2016,48,21,41,8.030075902,9.568425605,12.57504284,20,1.776644974,2.11700306,2.782213633
2/8/1900,2/8/2020,30,20,2/8/2019,35,8,2/8/2018,48,18,2/8/2017,26,8,2/8/2016,40,17,37.25,7.578682795,9.030557544,11.86816438,12.75,4.523347474,5.389900957,7.083530585
2/9/1900,2/9/2020,45,20,2/9/2019,28,8,2/9/2018,62,19,2/9/2017,23,16,2/9/2016,34,22,36.75,14.32967114,17.07485632,22.44016503,16.25,4.951665129,5.900272923,7.754273044
2/10/1900,2/10/2020,41,28,2/10/2019,23,9,2/10/2018,68,31,2/10/2017,30,13,2/10/2016,29,12,37.5,16.9148225,20.15525416,26.48849402,16.25,8.207116358,9.77938232,12.85228695
2/11/1900,2/11/2020,54,28,2/11/2019,26,8,2/11/2018,40,16,2/11/2017,53,30,2/11/2016,25,16,36,10.89004077,12.97628394,17.05372787,17.5,7.522695699,8.963844804,11.78048898
2/12/1900,2/12/2020,43,26,2/12/2019,15,12,2/12/2018,46,14,2/12/2017,48,23,2/12/2016,26,15,33.75,13.13095692,15.64650023,20.56298693,16,3.972698933,4.733762751,6.221218812
2/13/1900,2/13/2020,37,14,2/13/2019,28,9,2/13/2018,26,21,2/13/2017,29,19,2/13/2016,28,10,27.75,1.034864379,1.233116965,1.620590398,14.75,5.04190791,6.007803828,7.895592609
2/14/1900,2/14/2020,37,26,2/14/2019,33,18,2/14/2018,62,35,2/14/2017,34,37,2/14/2016,30,23,39.75,12.27915641,14.63151731,19.22907326,28.25,7.578682795,9.030557544,11.86816438
2/15/1900,2/15/2020,28,12,2/15/2019,31,19,2/15/2018,45,27,2/15/2017,25,22,2/15/2016,47,20,37,8.806753792,10.49389439,13.79131499,22,2.927038481,3.487781472,4.58372184
