DateNoYear,Date20,PM2.5 AQI Value 20,NO2 AQI Value 20,Date19,PM2.5 AQI Value 19,NO2 AQI Value 19,Date18,PM2.5 AQI Value 18,NO2 AQI Value 18,Date17,PM2.5 AQI Value 17,NO2 AQI Value 17,Date16,PM2.5 AQI Value 16,NO2 AQI Value 16,Avg PM2.5,confidence 90 PM2.5,confidence 95 PM2.5,confidence 99 PM2.5,Avg NO2,confidence 90 NO2,confidence 95 NO2,confidence 90 NO2
4/29/1900,4/29/2020,27,.,4/30/2019,19,8,4/30/2018,3,11,4/30/2017,3,6,4/29/2016,11,19,9,6.299309803,7.506090596,9.864675201,11,4.700560769,5.601063622,7.361045368
4/30/1900,4/30/2020,18,.,5/1/2019,31,14,5/1/2018,22,11,5/1/2017,32,19,4/30/2016,24,25,27.25,4.10527479,4.891736628,6.428831678,17.25,5.04190791,6.007803828,7.895592609
5/1/1900,5/1/2020,20,.,5/2/2019,36,5,5/2/2018,40,11,5/2/2017,12,15,5/1/2016,15,6,25.75,11.75379992,14.00551645,18.40636867,9.25,3.820819487,4.552787229,5.983376659
5/2/1900,5/2/2020,27,.,5/3/2019,32,12,5/3/2018,24,11,5/3/2017,18,21,5/2/2016,12,25,21.5,7.026817775,8.372969812,11.00394761,17.25,5.63327348,6.712459367,8.821666965
5/3/1900,5/3/2020,25,.,5/4/2019,22,10,5/4/2018,16,14,5/4/2017,21,22,5/3/2016,27,24,21.5,3.708527905,4.418983556,5.807528825,17.5,5.434658779,6.475795353,8.510637729
5/4/1900,5/4/2020,13,.,5/5/2019,27,17,5/5/2018,27,9,5/5/2017,10,16,5/4/2016,23,24,21.75,6.626365191,7.895801127,10.37684166,16.5,5.047494513,6.014460676,7.904341191
5/5/1900,5/5/2020,14,.,5/6/2019,32,11,5/6/2018,35,9,5/6/2017,7,9,5/5/2016,14,15,22,11.21640631,13.36517247,17.56481403,11,2.326174307,2.771807649,3.642772735
5/6/1900,5/6/2020,20,.,5/7/2019,24,11,5/7/2018,11,23,5/7/2017,11,10,5/6/2016,19,14,16.25,5.260746612,6.268566225,8.23829249,14.5,4.865542644,5.797651652,7.619405834
5/7/1900,5/7/2020,20,.,5/8/2019,15,9,5/8/2018,25,22,5/8/2017,11,16,5/7/2016,14,20,16.25,4.99699024,5.954281124,7.825251852,16.75,4.718513326,5.622455414,7.389158947
5/8/1900,5/8/2020,13,.,5/9/2019,25,9,5/9/2018,39,15,5/9/2017,11,19,5/8/2016,14,10,22.25,10.43272536,12.43135902,16.33757513,13.25,3.820819487,4.552787229,5.983376659
5/9/1900,5/9/2020,10,.,5/10/2019,18,9,5/10/2018,31,13,5/10/2017,10,16,5/9/2016,20,32,19.75,7.11846713,8.482176755,11.14746986,17.5,8.292520493,9.881147624,12.98602923
