date, pm25, o3, no2, co
2019/9/12, 37, 29, 11, 2
2019/9/13, 38, 22, 8, 2
2019/9/14, 8, 25, 13, 2
2019/9/15, 22, 35, 10, 2
2019/9/16, 21, 28, 18, 3
2019/9/17, 30, 30, , 1
2019/9/18, 12, 23, , 2
2019/9/19, 12, 28, , 2
2019/9/20, 24, 44, , 2
2019/9/21, 30, 57, , 3
2019/9/22, 45, 50, , 3
2019/9/23, 33, 55, , 2
2019/9/24, 37, 26, , 1
2019/9/25, 9, 31, , 2
2019/9/26, 16, 33, 12, 3
2019/9/27, 27, 29, 15, 2
2019/9/28, 17, 35, 14, 2
2019/9/29, 25, 27, 9, 1
2019/9/30, 17, 23, 8, 1
2019/10/1, 10, 34, 15, 2
2019/4/2, 10, 33, 106, 3
2019/4/3, 14, 41, 65, 2
2019/4/4, 15, 37, 119, 2
2019/4/5, 9, 28, 36, 3
2019/4/6, 10, 37, 57, 3
2019/4/7, 28, 39, , 4
2019/4/8, 28, 25, 4, 3
2019/4/9, 57, 18, , 4
2019/4/10, 55, 27, 40, 2
2019/4/11, 46, 205, 103, 2
2019/4/12, 12, 146, , 3
2019/4/13, 37, 151, , 3
2019/4/14, 42, 23, , 3
2019/4/15, 89, 32, 99, 2
2019/4/16, 39, 39, 118, 2
2019/4/17, 13, 208, 103, 2
2019/4/18, 36, 31, 63, 3
2019/4/19, 35, 28, , 2
2019/4/20, 36, 89, , 1
2019/4/21, 28, 28, , 2
2019/4/22, 42, 82, 59, 3
2019/4/23, 19, 34, 71, 3
2019/4/24, 36, 30, 2, 2
2019/4/25, 29, 23, 140, 3
2019/4/26, 14, 23, 1, 2
2019/4/27, 85, 35, 85, 2
2019/4/28, 57, 25, 48, 2
2019/4/29, 28, 29, 87, 2
2019/4/30, 22, 21, 129, 4
2019/5/1, 58, 25, 127, 3
2019/5/2, 21, 86, 45, 3
2019/5/3, 29, 82, 117, 3
2019/5/4, 26, 23, , 5
2019/5/5, 26, 24, 126, 2
2019/5/6, 80, 30, 56, 2
2019/5/7, 13, 33, 51, 3
2019/5/8, 57, 90, 107, 2
2019/5/9, 25, 28, 84, 2
2019/5/10, 35, 26, 113, 3
2019/5/11, 39, 33, 115, 2
