Week,Year,Date,Average of Manhattan Ozone AQI Value,Average of cluster 2 Ozone AQI Value
10,2018,3/2/2018 - 3/8/2018,27.86,27.86
11,2018,3/9/2018 - 3/15/2018,32,32
12,2018,3/16/2018 - 3/22/2018,33.43,33.43
13,2018,3/23/2018 - 3/29/2018,26.86,26.86
14,2018,3/30/2018 - 4/5/2018,34.43,34.43
15,2018,4/6/2018 - 4/12/2018,36.57,36.57
16,2018,4/13/2018 - 4/19/2018,37.71,37.71
17,2018,4/20/2018 - 4/26/2018,41.57,41.57
18,2018,4/27/2018 - 5/3/2018,49.29,49.29
19,2018,5/4/2018 - 5/10/2018,44,44
20,2018,5/11/2018 - 5/17/2018,29.5,29.5
21,2018,5/18/2018 - 5/24/2018,39,39
22,2018,5/25/2018 - 5/31/2018,50.29,50.29
23,2018,6/1/2018 - 6/7/2018,31.57,31.57
24,2018,6/8/2018 - 6/14/2018,38.71,38.71
25,2018,6/15/2018 - 6/21/2018,61.57,61.57
26,2018,6/22/2018 - 6/28/2018,35.29,35.29
27,2018,6/29/2018 - 7/5/2018,81,81
28,2018,7/6/2018 - 7/12/2018,62.29,62.29
29,2018,7/13/2018 - 7/19/2018,55.14,55.14
30,2018,7/20/2018 - 7/26/2018,30.86,30.86
31,2018,7/27/2018 - 8/2/2018,46.43,46.43
32,2018,8/3/2018 - 8/9/2018,60.43,60.43
33,2018,8/10/2018 - 8/16/2018,47.86,47.86
34,2018,8/17/2018 - 8/23/2018,61,61
35,2018,8/24/2018 - 8/30/2018,51.86,51.86
36,2018,8/31/2018 - 9/6/2018,44,44
37,2018,9/7/2018 - 9/13/2018,16.86,16.86
38,2018,9/14/2018 - 9/20/2018,29.29,29.29
39,2018,9/21/2018 - 9/27/2018,23.86,23.86
40,2018,9/28/2018 - 10/4/2018,28.25,28.25
41,2018,10/5/2018 - 10/11/2018,17.17,17.17
42,2018,10/12/2018 - 10/18/2018,23.8,23.8
43,2018,10/19/2018 - 10/25/2018,24.5,24.5
44,2018,10/26/2018 - 11/1/2018,28.71,28.71
45,2018,11/2/2018 - 11/8/2018,20,20
46,2018,11/9/2018 - 11/15/2018,23.57,23.57
47,2018,11/16/2018 - 11/22/2018,22.14,22.14
48,2018,11/23/2018 - 11/29/2018,24,24
49,2018,11/30/2018 - 12/6/2018,18.71,18.71
50,2018,12/7/2018 - 12/13/2018,17.71,17.71
51,2018,12/14/2018 - 12/20/2018,27.71,27.71
52,2018,12/21/2018 - 12/27/2018,22.57,22.57
1,2019,12/28/2018 - 1/3/2019,23.43,23.43
2,2019,1/4/2019 - 1/10/2019,23.86,23.86
3,2019,1/11/2019 - 1/17/2019,22.67,22.67
4,2019,1/18/2019 - 1/24/2019,21.71,21.71
5,2019,1/25/2019 - 1/31/2019,24.57,24.57
6,2019,2/1/2019 - 2/7/2019,14.71,14.71
7,2019,2/8/2019 - 2/14/2019,27.29,27.29
8,2019,2/15/2019 - 2/21/2019,29.43,29.43
9,2019,2/22/2019 - 2/28/2019,31.14,31.14
10,2019,3/1/2019 - 3/7/2019,32.14,32.14
11,2019,3/8/2019 - 3/14/2019,33.43,33.43
12,2019,3/15/2019 - 3/21/2019,36.43,36.43
13,2019,3/22/2019 - 3/28/2019,37.14,37.14
14,2019,3/29/2019 - 4/4/2019,37.29,37.29
15,2019,4/5/2019 - 4/11/2019,34,34
16,2019,4/12/2019 - 4/18/2019,35.14,35.14
17,2019,4/19/2019 - 4/25/2019,32.71,32.71
18,2019,4/26/2019 - 5/2/2019,31.71,31.71
19,2019,5/3/2019 - 5/9/2019,31.29,31.29
20,2019,5/10/2019 - 5/16/2019,30.14,30.14
21,2019,5/17/2019 - 5/23/2019,39.57,39.57
22,2019,5/24/2019 - 5/30/2019,32.86,32.86
23,2019,5/31/2019 - 6/6/2019,45.57,45.57
24,2019,6/7/2019 - 6/13/2019,37.17,37.17
25,2019,6/14/2019 - 6/20/2019,33.29,33.29
26,2019,6/21/2019 - 6/27/2019,39,39
27,2019,6/28/2019 - 7/4/2019,68.43,68.43
28,2019,7/5/2019 - 7/11/2019,45.57,45.57
29,2019,7/12/2019 - 7/18/2019,54.43,54.43
30,2019,7/19/2019 - 7/25/2019,44.29,44.29
31,2019,7/26/2019 - 8/1/2019,69.14,69.14
32,2019,8/2/2019 - 8/8/2019,45.14,45.14
33,2019,8/9/2019 - 8/15/2019,38.43,38.43
34,2019,8/16/2019 - 8/22/2019,45.14,45.14
35,2019,8/23/2019 - 8/29/2019,29.57,29.57
36,2019,8/30/2019 - 9/5/2019,39.43,39.43
37,2019,9/6/2019 - 9/12/2019,31.43,31.43
38,2019,9/13/2019 - 9/19/2019,30.57,30.57
