Week,Date,Rockland,Bronx,Queens,Brooklyn,Average
33,8/10/2017 - 8/16/2017,29.42857143,30.85714286,37.14285714,31,32.10714286
34,8/17/2017 - 8/23/2017,28.14285714,34.28571429,40.85714286,31.33333333,33.6547619
35,8/24/2017 - 8/30/2017,19.85714286,22.57142857,30.57142857,23.5,24.125
36,8/31/2017 - 9/6/2017,35,33.71428571,36.85714286,31,34.14285714
37,9/7/2017 - 9/13/2017,10,18.42857143,25.85714286,24.42857143,19.67857143
38,9/14/2017 - 9/20/2017,27.33333333,36.71428571,39.71428571,33.85714286,34.4047619
39,9/21/2017 - 9/27/2017,25.28571429,28,31.28571429,30.42857143,28.75
40,9/28/2017 - 10/4/2017,10.83333333,22,25.71428571,21.14285714,19.92261905
41,10/5/2017 - 10/11/2017,20.85714286,31.85714286,35.42857143,29,29.28571429
42,10/12/2017 - 10/18/2017,13.14285714,19.85714286,26,19.71428571,19.67857143
43,10/19/2017 - 10/25/2017,20.42857143,37.28571429,34.28571429,31.14285714,30.78571429
44,10/26/2017 - 11/1/2017,20.66666667,22.42857143,26.42857143,21.42857143,22.73809524
45,11/2/2017 - 11/8/2017,17.14285714,25.14285714,25.71428571,22,22.5
46,11/9/2017 - 11/15/2017,24,34,33.71428571,29.28571429,30.25
47,11/16/2017 - 11/22/2017,21.85714286,28,28,24.42857143,25.57142857
48,11/23/2017 - 11/29/2017,28,31.85714286,33.14285714,30.85714286,30.96428571
49,11/30/2017 - 12/6/2017,31.33333333,37.42857143,40,34.57142857,35.83333333
50,12/7/2017 - 12/13/2017,28.14285714,38,36.71428571,32,33.71428571
51,12/14/2017 - 12/20/2017,32.16666667,43.85714286,49.57142857,44.85714286,42.61309524
52,12/21/2017 - 12/27/2017,28.28571429,34,37.28571429,32.28571429,32.96428571
1,12/28/2017 - 1/3/2018,32.83333333,45.57142857,45.85714286,40.14285714,41.10119048
2,1/4/2018 - 1/10/2018,40,51,48.57142857,45.28571429,46.21428571
3,1/11/2018 - 1/17/2018,38,49.42857143,43.71428571,41.14285714,43.07142857
4,1/18/2018 - 1/24/2018,42.85714286,50.85714286,54,48.28571429,49
5,1/25/2018 - 1/31/2018,29.28571429,35.85714286,37.57142857,31.14285714,33.46428571
6,2/1/2018 - 2/7/2018,28.83333333,42.42857143,40.57142857,38.71428571,37.63690476
7,2/8/2018 - 2/14/2018,35.57142857,46.28571429,45,39.57142857,41.60714286
8,2/15/2018 - 2/21/2018,33.28571429,45.28571429,44.28571429,39.28571429,40.53571429
9,2/22/2018 - 2/28/2018,17.71428571,28.28571429,30,23.85714286,24.96428571
10,3/1/2018 - 3/7/2018,14.33333333,19.85714286,25.14285714,20.57142857,19.97619048
11,3/8/2018 - 3/14/2018,14.4,23.14285714,21.85714286,20.42857143,19.95714286
12,3/15/2018 - 3/21/2018,17.14285714,26.42857143,27.28571429,23.14285714,23.5
13,3/22/2018 - 3/28/2018,19,26.14285714,31.42857143,24,25.14285714
14,3/29/2018 - 4/4/2018,15.14285714,32.14285714,33.14285714,28,27.10714286
15,4/5/2018 - 4/11/2018,16.28571429,26.71428571,31.14285714,24,24.53571429
16,4/12/2018 - 4/18/2018,29.66666667,36.14285714,35.85714286,31.71428571,33.3452381
17,4/19/2018 - 4/25/2018,12.14285714,19.14285714,26.57142857,20,19.46428571
18,4/26/2018 - 5/2/2018,11.83333333,25.85714286,32.28571429,25.14285714,23.7797619
19,5/3/2018 - 5/9/2018,25.42857143,36.71428571,37.28571429,31.42857143,32.71428571
20,5/10/2018 - 5/16/2018,14,24.71428571,29,20.14285714,21.96428571
21,5/17/2018 - 5/23/2018,12.71428571,24.28571429,32.14285714,23.71428571,23.21428571
22,5/24/2018 - 5/30/2018,32.57142857,33.14285714,40,28.71428571,33.60714286
23,5/31/2018 - 6/6/2018,8,17,27.42857143,21.42857143,18.46428571
24,6/7/2018 - 6/13/2018,16.14285714,27.71428571,29.28571429,22.57142857,23.92857143
25,6/14/2018 - 6/20/2018,18.85714286,29,33.28571429,24.42857143,26.39285714
26,6/21/2018 - 6/27/2018,18.71428571,19.42857143,28.85714286,19.14285714,21.53571429
27,6/28/2018 - 7/4/2018,42,52.16666667,54,49.57142857,49.43452381
28,7/5/2018 - 7/11/2018,21.57142857,27.85714286,31,22,25.60714286
29,7/12/2018 - 7/18/2018,26.85714286,38.42857143,41.71428571,32.71428571,34.92857143
30,7/19/2018 - 7/25/2018,11.57142857,22.14285714,24.28571429,19.85714286,19.46428571
31,7/26/2018 - 8/1/2018,26.16666667,33,37,26.28571429,30.61309524
32,8/2/2018 - 8/8/2018,26.28571429,42.14285714,44.71428571,36.14285714,37.32142857
33,8/9/2018 - 8/15/2018,25.85714286,37.71428571,40.85714286,33.57142857,34.5
34,8/16/2018 - 8/22/2018,26,43.14285714,42.42857143,34.85714286,36.60714286
35,8/23/2018 - 8/29/2018,48.42857143,48.28571429,48.57142857,47.57142857,48.21428571
36,8/30/2018 - 9/5/2018,20.71428571,31.28571429,35.71428571,29.57142857,29.32142857
37,9/6/2018 - 9/12/2018,9.714285714,21.28571429,28.14285714,24.28571429,20.85714286
38,9/13/2018 - 9/19/2018,15.28571429,17.85714286,23.85714286,20,19.25
39,9/20/2018 - 9/26/2018,9.142857143,16.71428571,23.71428571,16.28571429,16.46428571
40,9/27/2018 - 10/3/2018,13,22,31,21,21.75
41,10/4/2018 - 10/10/2018,15.14285714,30.14285714,30.71428571,25.57142857,25.39285714
42,10/11/2018 - 10/17/2018,11.85714286,18.14285714,19.71428571,16.71428571,16.60714286
43,10/18/2018 - 10/24/2018,13.71428571,17.42857143,22,18.14285714,17.82142857
44,10/25/2018 - 10/31/2018,13,19.28571429,26.28571429,19.71428571,19.57142857
45,11/1/2018 - 11/7/2018,18.14285714,25.71428571,32.42857143,22.57142857,24.71428571
46,11/8/2018 - 11/14/2018,18.28571429,22,30.14285714,22.85714286,23.32142857
47,11/15/2018 - 11/21/2018,20.85714286,37.85714286,33.14285714,29.28571429,30.28571429
48,11/22/2018 - 11/28/2018,18,25.14285714,24.42857143,19.71428571,21.82142857
