Week,Date,Steuben,Monroe,Average
41,10/5/2017 - 10/11/2017,18,25.71428571,21.85714286
42,10/12/2017 - 10/18/2017,12.71428571,26,19.35714286
43,10/19/2017 - 10/25/2017,16.8,32,24.4
44,10/26/2017 - 11/1/2017,16.4,19.85714286,18.12857143
45,11/2/2017 - 11/8/2017,14.14285714,23.57142857,18.85714286
46,11/9/2017 - 11/15/2017,26.16666667,34.85714286,30.51190476
47,11/16/2017 - 11/22/2017,12.71428571,28.85714286,20.78571428
48,11/23/2017 - 11/29/2017,12,33.85714286,22.92857143
49,11/30/2017 - 12/6/2017,33.33333333,48.42857143,40.88095238
50,12/7/2017 - 12/13/2017,45,34.42857143,39.71428571
51,12/14/2017 - 12/20/2017,25,42.85714286,33.92857143
52,12/21/2017 - 12/27/2017,19.14285714,42.42857143,30.78571428
1,12/28/2017 - 1/3/2018,24,37.85714286,30.92857143
2,1/4/2018 - 1/10/2018,19.28571429,41.57142857,30.42857143
3,1/11/2018 - 1/17/2018,29.66666667,42.28571429,35.97619048
4,1/18/2018 - 1/24/2018,30,49.85714286,39.92857143
5,1/25/2018 - 1/31/2018,23,33,28
6,2/1/2018 - 2/7/2018,19.71428571,38.71428571,29.21428571
7,2/8/2018 - 2/14/2018,34.83333333,50.28571429,42.55952381
8,2/15/2018 - 2/21/2018,17.57142857,40.14285714,28.85714286
9,2/22/2018 - 2/28/2018,9.666666667,21.14285714,15.4047619
10,3/1/2018 - 3/7/2018,11.33333333,21.85714286,16.59523809
11,3/8/2018 - 3/14/2018,13.42857143,22.85714286,18.14285714
12,3/15/2018 - 3/21/2018,14.57142857,22.57142857,18.57142857
13,3/22/2018 - 3/28/2018,12.5,20.42857143,16.46428571
14,3/29/2018 - 4/4/2018,12.42857143,24.57142857,18.5
15,4/5/2018 - 4/11/2018,18.28571429,26.42857143,22.35714286
16,4/12/2018 - 4/18/2018,14.5,21.85714286,18.17857143
17,4/19/2018 - 4/25/2018,17.71428571,23.71428571,20.71428571
18,4/26/2018 - 5/2/2018,15.8,22.85714286,19.32857143
19,5/3/2018 - 5/9/2018,20.85714286,25.28571429,23.07142857
20,5/10/2018 - 5/16/2018,15.28571429,25.14285714,20.21428572
21,5/17/2018 - 5/23/2018,19.33333333,23.14285714,21.23809524
22,5/24/2018 - 5/30/2018,38,47.71428571,42.85714286
23,5/31/2018 - 6/6/2018,18,21.14285714,19.57142857
24,6/7/2018 - 6/13/2018,20.14285714,27.57142857,23.85714286
25,6/14/2018 - 6/20/2018,22.14285714,29.42857143,25.78571428
26,6/21/2018 - 6/27/2018,16.4,24.14285714,20.27142857
27,6/28/2018 - 7/4/2018,32.71428571,44.8,38.75714286
28,7/5/2018 - 7/11/2018,22.85714286,25.28571429,24.07142857
29,7/12/2018 - 7/18/2018,31.71428571,44.85714286,38.28571428
30,7/19/2018 - 7/25/2018,14.14285714,23.42857143,18.78571428
31,7/26/2018 - 8/1/2018,24.4,30.57142857,27.48571429
32,8/2/2018 - 8/8/2018,29,44.42857143,36.71428571
33,8/9/2018 - 8/15/2018,32,38.14285714,35.07142857
34,8/16/2018 - 8/22/2018,28.42857143,35.14285714,31.78571429
35,8/23/2018 - 8/29/2018,46.33333333,53.42857143,49.88095238
36,8/30/2018 - 9/5/2018,22.57142857,37.28571429,29.92857143
37,9/6/2018 - 9/12/2018,10.5,16.57142857,13.53571429
38,9/13/2018 - 9/19/2018,14.14285714,33.42857143,23.78571428
39,9/20/2018 - 9/26/2018,13.85714286,19.42857143,16.64285714
40,9/27/2018 - 10/3/2018,12,18.14285714,15.07142857
41,10/4/2018 - 10/10/2018,21.8,30.42857143,26.11428571
42,10/11/2018 - 10/17/2018,10.71428571,22.14285714,16.42857143
43,10/18/2018 - 10/24/2018,6.285714286,22.28571429,14.28571429
44,10/25/2018 - 10/31/2018,5,23.28571429,14.14285714
45,11/1/2018 - 11/7/2018,11.28571429,20,15.64285715
46,11/8/2018 - 11/14/2018,20.5,28.57142857,24.53571429
47,11/15/2018 - 11/21/2018,18.33333333,32.42857143,25.38095238
48,11/22/2018 - 11/28/2018,12.14285714,28.28571429,20.21428571
49,11/29/2018 - 12/5/2018,15.71428571,34.57142857,25.14285714
50,12/6/2018 - 12/12/2018,28.28571429,47.28571429,37.78571429
51,12/13/2018 - 12/19/2018,35.16666667,53.42857143,44.29761905
52,12/20/2018 - 12/26/2018,19.28571429,43.57142857,31.42857143
1,12/27/2018 - 1/2/2019,12.83333333,37.14285714,24.98809524
2,1/3/2019 - 1/9/2019,25.42857143,39,32.21428572
3,1/10/2019 - 1/16/2019,24.42857143,37.28571429,30.85714286
4,1/17/2019 - 1/23/2019,27,32.71428571,29.85714286
5,1/24/2019 - 1/30/2019,30,36,33
6,1/31/2019 - 2/6/2019,31.14285714,42.42857143,36.78571428
7,2/7/2019 - 2/13/2019,19.71428571,26.14285714,22.92857143
8,2/14/2019 - 2/20/2019,23,30.57142857,26.78571429
9,2/21/2019 - 2/27/2019,31.28571429,34.14285714,32.71428572
10,2/28/2019 - 3/6/2019,34.28571429,39.28571429,36.78571429
11,3/7/2019 - 3/13/2019,40.42857143,40,40.21428572
12,3/14/2019 - 3/20/2019,25.28571429,32.42857143,28.85714286
13,3/21/2019 - 3/27/2019,19.28571429,26.57142857,22.92857143
14,3/28/2019 - 4/3/2019,29.71428571,29.28571429,29.5
15,4/4/2019 - 4/10/2019,26.57142857,30.28571429,28.42857143
16,4/11/2019 - 4/17/2019,17.14285714,18.57142857,17.85714286
17,4/18/2019 - 4/24/2019,21.14285714,26.85714286,24
18,4/25/2019 - 5/1/2019,24.71428571,21.14285714,22.92857143
19,5/2/2019 - 5/8/2019,23,26.85714286,24.92857143
20,5/9/2019 - 5/15/2019,14.14285714,16.42857143,15.28571428
21,5/16/2019 - 5/22/2019,26.71428571,25.71428571,26.21428571
22,5/23/2019 - 5/29/2019,24,25.14285714,24.57142857
23,5/30/2019 - 6/5/2019,30.71428571,34.71428571,32.71428571
24,6/6/2019 - 6/12/2019,22.28571429,25.14285714,23.71428572
25,6/13/2019 - 6/19/2019,17.42857143,21.85714286,19.64285714
26,6/20/2019 - 6/26/2019,20.33333333,26.14285714,23.23809524
27,6/27/2019 - 7/3/2019,25.28571429,38.57142857,31.92857143
28,7/4/2019 - 7/10/2019,30.42857143,39,34.71428572
29,7/11/2019 - 7/17/2019,28.42857143,30.42857143,29.42857143
