"Date","Main Pollutant","Site Name","Site ID","PM2.5 AQI Value"
"05/23/2015","","PINNACLE STATE PARK","36-101-0003","11"
"05/24/2015","","PINNACLE STATE PARK","36-101-0003","31"
"05/25/2015","","PINNACLE STATE PARK","36-101-0003","38"
"05/26/2015","","PINNACLE STATE PARK","36-101-0003","34"
"05/27/2015","","PINNACLE STATE PARK","36-101-0003","36"
"05/30/2015","","PINNACLE STATE PARK","36-101-0003","46"
"05/31/2015","","PINNACLE STATE PARK","36-101-0003","8"
"06/01/2015","","PINNACLE STATE PARK","36-101-0003","3"
"06/02/2015","","PINNACLE STATE PARK","36-101-0003","5"
"06/03/2015","","PINNACLE STATE PARK","36-101-0003","8"
"06/04/2015","","PINNACLE STATE PARK","36-101-0003","21"
"06/05/2015","","PINNACLE STATE PARK","36-101-0003","19"
"06/06/2015","","PINNACLE STATE PARK","36-101-0003","12"
"06/07/2015","","PINNACLE STATE PARK","36-101-0003","27"
"06/08/2015","","PINNACLE STATE PARK","36-101-0003","34"
"06/09/2015","","PINNACLE STATE PARK","36-101-0003","16"
"06/10/2015","","PINNACLE STATE PARK","36-101-0003","64"
"06/11/2015","","PINNACLE STATE PARK","36-101-0003","57"
"06/12/2015","","PINNACLE STATE PARK","36-101-0003","45"
"06/13/2015","","PINNACLE STATE PARK","36-101-0003","13"
"06/14/2015","","PINNACLE STATE PARK","36-101-0003","29"
"06/15/2015","","PINNACLE STATE PARK","36-101-0003","24"
"06/16/2015","","PINNACLE STATE PARK","36-101-0003","21"
"06/17/2015","","PINNACLE STATE PARK","36-101-0003","30"
"06/18/2015","","PINNACLE STATE PARK","36-101-0003","28"
"06/19/2015","","PINNACLE STATE PARK","36-101-0003","25"
"06/20/2015","","PINNACLE STATE PARK","36-101-0003","33"
"06/21/2015","","PINNACLE STATE PARK","36-101-0003","28"
"06/22/2015","","PINNACLE STATE PARK","36-101-0003","29"
"06/23/2015","","PINNACLE STATE PARK","36-101-0003","31"
"06/24/2015","","PINNACLE STATE PARK","36-101-0003","13"
"06/25/2015","","PINNACLE STATE PARK","36-101-0003","14"
"06/26/2015","","PINNACLE STATE PARK","36-101-0003","32"
"06/27/2015","","PINNACLE STATE PARK","36-101-0003","20"
"06/29/2015","","PINNACLE STATE PARK","36-101-0003","17"
"06/30/2015","","PINNACLE STATE PARK","36-101-0003","18"
"07/01/2015","","PINNACLE STATE PARK","36-101-0003","10"
"07/02/2015","","PINNACLE STATE PARK","36-101-0003","35"
"07/03/2015","","PINNACLE STATE PARK","36-101-0003","30"
"07/04/2015","","PINNACLE STATE PARK","36-101-0003","34"
"07/05/2015","","PINNACLE STATE PARK","36-101-0003","44"
"07/06/2015","","PINNACLE STATE PARK","36-101-0003","53"
"07/07/2015","","PINNACLE STATE PARK","36-101-0003","53"
"07/08/2015","","PINNACLE STATE PARK","36-101-0003","17"
"07/09/2015","","PINNACLE STATE PARK","36-101-0003","23"
"07/10/2015","","PINNACLE STATE PARK","36-101-0003","29"
"07/11/2015","","PINNACLE STATE PARK","36-101-0003","42"
"07/12/2015","","PINNACLE STATE PARK","36-101-0003","36"
"07/14/2015","","PINNACLE STATE PARK","36-101-0003","50"
"07/18/2015","","PINNACLE STATE PARK","36-101-0003","40"
"07/19/2015","","PINNACLE STATE PARK","36-101-0003","33"
"07/20/2015","","PINNACLE STATE PARK","36-101-0003","25"
"07/21/2015","","PINNACLE STATE PARK","36-101-0003","22"
"07/22/2015","","PINNACLE STATE PARK","36-101-0003","11"
"07/23/2015","","PINNACLE STATE PARK","36-101-0003","22"
"07/24/2015","","PINNACLE STATE PARK","36-101-0003","25"
"07/25/2015","","PINNACLE STATE PARK","36-101-0003","30"
"07/26/2015","","PINNACLE STATE PARK","36-101-0003","40"
"07/27/2015","","PINNACLE STATE PARK","36-101-0003","24"
"07/29/2015","","PINNACLE STATE PARK","36-101-0003","51"
"07/31/2015","","PINNACLE STATE PARK","36-101-0003","25"
"08/01/2015","","PINNACLE STATE PARK","36-101-0003","18"
"08/02/2015","","PINNACLE STATE PARK","36-101-0003","18"
"08/03/2015","","PINNACLE STATE PARK","36-101-0003","23"
"08/04/2015","","PINNACLE STATE PARK","36-101-0003","23"
"08/05/2015","","PINNACLE STATE PARK","36-101-0003","10"
"08/06/2015","","PINNACLE STATE PARK","36-101-0003","12"
"08/07/2015","","PINNACLE STATE PARK","36-101-0003","18"
"08/08/2015","","PINNACLE STATE PARK","36-101-0003","14"
"08/09/2015","","PINNACLE STATE PARK","36-101-0003","17"
"08/10/2015","","PINNACLE STATE PARK","36-101-0003","40"
"08/11/2015","","PINNACLE STATE PARK","36-101-0003","15"
